Scenario,Arm,HZ,HZ_GP,HZ_Hosp,HZ_PHN,HZ_PHN_GP,HZ_Death,Q_Life,Q_HZ,Q_All,Q_Life_d,Q_HZ_d,Q_All_d,C_Hosp,C_GP_NonPHN,C_GP_PHN,C_GP,C_Vac,C_Vac_d,C_All,C_Hosp_d,C_GP_NonPHN_d,C_GP_PHN_d,C_GP_d,C_Med_d,C_All_d,NewUptake
Vac_57,SOC,84750.5727230552,81857.68919883779,2892.883524217415,5830.468590418904,5591.276084846511,58.08551513950796,8249338.4580882965,-9436.864300887797,8239901.593787408,5184622.3412703145,-5204.65996069866,5179417.681309616,8789104.748670567,7238318.922537415,2385359.8077117126,9623678.730249127,0,0,0,3612024.938070426,4249130.187675385,1250089.6019136521,5499219.789589037,9111244.727659464,0,0
Vac_57,Vac,51986.33422576972,49582.44570483846,2403.888520931267,4082.5361008046716,3876.2387606145303,52.318881967486185,8249388.898669622,-6138.436064870401,8243250.462604752,5184643.513823914,-2876.5606186348905,5181766.95320528,7458181.022022946,4337900.38227318,1653687.638448636,5991588.020721816,63987091.349999994,63987091.349999994,77436860.39274475,2843248.4227880402,2135986.3685584436,759061.5233472998,2895047.891905743,5738296.314693783,69725387.66469377,376394.65499999997
Vac_58,SOC,82604.8098138517,79741.67515880606,2863.134655045638,5747.664669852618,5510.483934656881,57.558996751653986,7925559.632919379,-9242.383907463565,7916317.249011914,5043799.058405992,-5207.0641847403695,5038591.994221251,8704412.324007817,7045159.384605718,2350892.1218173853,9396051.506423103,0,0,0,3694691.1602978194,4211161.372079094,1263823.0354629077,5474984.407542001,9169675.567839822,0,0
Vac_58,Vac,49435.80508262899,47100.25543681091,2335.549645818072,3916.642514059892,3715.7559976311613,51.117217098103765,7925614.370174072,-5862.540302291007,7919751.829871781,5043822.531098698,-2807.792329338874,5041014.738769359,7256123.044906937,4117550.9692066386,1585222.2064359793,5702773.175642618,63723600.36,63723600.36,76682496.58054955,2848959.9367738306,2067960.6268651744,745705.521907367,2813666.1487725414,5662626.0855463715,69386226.44554637,374844.708
Vac_59,SOC,81113.07904240106,78256.67910615978,2856.3999362412887,5711.097840624842,5473.987457908153,57.5004023384351,7669798.302755138,-9119.578181299836,7660678.724573838,4942533.500747936,-5247.720844317909,4937285.779903618,8689889.202016728,6907684.689501914,2335321.932215151,9243006.621717066,0,0,0,3809307.7193848253,4204070.545512421,1287890.940717438,5491961.486229859,9301269.205614684,0,0
Vac_59,Vac,47292.17792004413,45009.07776397182,2283.100156072308,3779.14943740857,3582.340364794723,50.26058633631721,7669858.043579901,-5632.331685311256,7664225.7118945895,4942559.679509215,-2757.1323804117765,4939802.547128803,7103107.152959928,3931743.0172999958,1528304.199981072,5460047.217281068,64006879.85999999,64006879.85999999,76570034.23024099,2871953.7210754137,2014308.5644688017,736813.394455641,2751121.9589244425,5623075.679999856,69629955.53999984,376511.05799999996
Vac_60,SOC,78146.60633274064,75347.745421222,2798.8609115186428,5569.9227777714295,5337.026994573119,56.450800626241204,7283534.6352667995,-8830.184174839118,7274704.45109196,4752290.751553006,-5187.203921465203,4747103.54763154,8522013.36339021,6644601.30320571,2276891.624083813,8921492.927289523,0,0,0,3855959.4968733555,4115695.2802079013,1287290.5226660203,5402985.802873922,9258945.299747277,0,0
Vac_60,Vac,44342.347118536585,42153.93486723387,2188.4122513027205,3573.1429786782483,3384.085533218183,48.4752431853757,7283598.528453064,-5303.701151140736,7278294.827301923,4752319.363486771,-2653.2565150761147,4749666.106971695,6818504.518758808,3679582.1725467807,1443724.3831823608,5123306.555729141,63156712.92,63156712.92,75098523.99448796,2838162.4336312166,1922799.9569170927,713185.769679203,2635985.726596296,5474148.160227513,68630861.08022751,371510.076
Vac_61,SOC,74297.63854847306,71588.09309109859,2709.5454573744596,5363.706632592545,5137.665340372558,54.7639502451152,6824282.551430122,-8438.112167342328,6815844.43926278,4507809.600907314,-5058.8612506591135,4502750.739656654,8257312.700291885,6306700.01327946,2191839.612716001,8498539.62599546,0,0,0,3855989.3645844096,3974885.9044859535,1270178.637091211,5245064.541577165,9101053.906161575,0,0
Vac_61,Vac,40973.98037127036,38905.978325706754,2068.0020455636036,3328.6096446487186,3149.5835036062476,46.104872533063144,6824349.886065794,-4921.779795598305,6819428.106270196,4507840.418545007,-2516.1426101751117,4505324.275934831,6453013.019567619,3393580.19703497,1343680.7244942943,4737260.921529264,61556142.69,61556142.69,72746416.63109688,2764703.1162479245,1808810.5018204744,680077.8425829827,2488888.344403457,5253591.460651382,66809734.15065138,362094.957
Vac_62,SOC,70462.63081875129,67842.73545580608,2619.8953629452035,5151.689841957139,4932.545029085549,53.07856415612796,6378040.884539378,-8044.3445120460765,6369996.540027332,4264736.753419674,-4920.081901717832,4259816.671517956,7991686.391898965,5970701.95376247,2104330.8331700563,8075032.786932526,0,0,0,3850694.8335346202,3827971.912788283,1248870.7025939368,5076842.61538222,8927537.44891684,0,0
Vac_62,Vac,37719.84338549186,35772.309760767756,1947.5336247241107,3087.857006727568,2918.9317693915796,43.71204378361909,6378111.565550821,-4550.223155288951,6373561.342395532,4264769.818504635,-2377.0008699764903,4262392.817634658,6086441.946999318,3118059.678889327,1245279.6854424411,4363339.364331769,59922564.239999995,59922564.239999995,70372345.55133109,2683500.077005167,1695163.6926791777,645577.1561152466,2340740.8487944244,5024240.9257995915,64946805.16579959,352485.67199999996
Vac_63,SOC,65988.6725493308,63484.01021320551,2504.6623361252887,4890.5016094261455,4680.387074548284,50.876550655649,5883801.4921744475,-7573.354357322092,5876228.137817125,3981798.364281673,-4724.358516282608,3977074.0057653906,7647797.611119882,5580954.455562523,1996754.7734619437,7577709.229024466,0,0,0,3801637.8544002227,3639192.6698223334,1213760.6765585495,4852953.346380883,8654591.200781105,0,0
Vac_63,Vac,34238.854877710364,32429.856876273232,1808.9980014371306,2823.9748302513185,2666.7805682445505,40.88671139437009,5883874.641540635,-4147.801912153385,5879726.839628482,3981833.345289363,-2214.061850362451,3979619.2834390006,5662343.923636561,2824764.265645095,1137706.506877272,3962470.772522367,57646310.82,57646310.82,67271125.51615892,2568637.1168543547,1566441.6857518968,604173.4288159126,2170615.1145678093,4739252.231422164,62385563.051422164,339095.946
Vac_64,SOC,61269.11077854773,58891.922205265095,2377.188573282628,4603.793032025092,4403.748759777201,48.43512626753935,5381046.545310018,-7069.659994769496,5373976.885315249,3684901.9704837054,-4496.264288928047,3680405.706194777,7266566.783741212,5171382.2743372405,1878734.8604198287,7050117.134757069,0,0,0,3725129.93773506,3428611.985866105,1169017.5218121407,4597629.507678246,8322759.445413306,0,0
Vac_64,Vac,30773.15360074377,29108.996521423316,1664.1570793204587,2556.276741807348,2411.426985924605,37.88536906381941,5381121.485187011,-3743.6831837185314,5377377.802003292,3684938.607366435,-2041.826816502369,3682896.7805499327,5217301.435098015,2533822.0963102737,1028767.122955234,3562589.219265508,55055493.99,55055493.99,63835384.64436352,2434615.5305691008,1433185.129570238,559532.9053402947,1992718.0349105326,4427333.565479633,59482827.55547964,323855.847
Vac_65,SOC,57882.9182580401,55583.679559912525,2299.238698127584,4409.500727335875,4215.3949256054975,47.00177112898915,5006617.23835971,-6715.647571646441,4999901.5907880645,3468589.6363763637,-4352.983903135013,3464236.652473229,7036438.868773961,4875278.795805609,1798379.0241413717,6673657.81994698,0,0,0,3719291.2360635614,3285592.579210718,1144671.8786020805,4430264.457812798,8149555.693876361,0,0
Vac_65,Vac,28103.890623516705,26548.027140309732,1555.8634832069733,2350.151922501748,2214.5288968908962,35.68154004164278,5006695.227415551,-3433.27289824633,5003261.954517305,3468628.618259277,-1913.2168870484281,3466715.4013722287,4885634.353773403,2309452.006397785,944766.1219906852,3254218.1283884705,53575871.79,53575871.79,61715724.27216187,2344897.235931514,1332402.15360885,526166.3959487609,1858568.5495576109,4203465.785489125,57779337.575489126,315152.187
Vac_66,SOC,54587.50743276128,52364.83281757972,2222.6746151815632,4219.910338261535,4031.5535349830616,45.628855223264,4661999.238411374,-6369.046320863074,4655630.192090511,3270650.2191233747,-4205.376884507644,3266444.8422388667,6811395.296829865,4587231.465790854,1719948.294281137,6307179.760071991,0,0,0,3709667.27669735,3141028.7945526317,1119587.674872294,4260616.469424926,7970283.7461222755,0,0
Vac_66,Vac,25590.652122624593,24140.21773798911,1450.4343846354823,2154.0120757242285,2027.4038062843663,33.51792639701732,4662080.129104651,-3139.2927956511467,4658940.836308999,3270691.55711639,-1787.2499250208682,3268904.307191369,4562083.458318603,2098690.5372509784,864934.4944026723,2963625.0316536506,52136976.15,52136976.15,59662684.639972255,2251485.1977560567,1234918.6389782857,493263.4451538681,1728182.084132154,3979667.2818882107,56116643.43188821,306688.095
Vac_67,SOC,50584.837076880714,48470.26876281073,2114.5683140699834,3967.8613702667944,3787.983214634957,43.60152552243796,4263952.606422755,-5935.562143965126,4258017.044278789,3028748.878850134,-3991.5152873494917,3024757.3635627846,6489195.125174643,4240721.698845014,1616035.905822182,5856757.604667196,0,0,0,3640997.9788620933,2950048.4979169415,1075304.5336517808,4025353.0315687223,7666351.010430816,0,0
Vac_67,Vac,22861.323973340695,21534.68757851909,1326.6363948216067,1936.0249072335673,1820.0905751691666,30.892307749790014,4264034.8927986715,-2816.0104086202455,4261218.882390051,3028791.8757307814,-1637.9656224904745,3027153.910108291,4179540.766965798,1871079.7415667155,776490.1676327446,2647569.90919946,49905390.57,49905390.57,56732501.24616526,2120782.6742093447,1123020.1206461382,453410.86056256626,1576430.9812087044,3697213.655418049,53602604.225418046,293561.121
Vac_68,SOC,46799.04249243598,44788.2469086797,2010.7955837562806,3725.200213374138,3553.431652751353,41.68168652468991,3893280.7855986115,-5523.003020870087,3887757.7825777414,2799563.181411976,-3781.3973381128785,2795781.784073863,6180488.111786212,3913528.0046304604,1515971.1155912925,5429499.120221753,0,0,0,3570401.3026706274,2765168.6964580156,1030615.8360212347,3795784.5324792503,7366185.835149878,0,0
Vac_68,Vac,20362.15787198336,19152.52617629594,1209.6316956874166,1734.3260616422783,1628.5107957409414,28.387237860008533,3893364.199562159,-2518.3598414397793,3890845.839720719,2799607.749444531,-1496.6046770205744,2798111.1447675102,3817229.5127641405,1663175.2687558609,694758.0730475944,2357933.3418034553,47764043.879999995,47764043.879999995,53939206.73456759,1991094.4446724958,1018248.1307855552,415358.32870818,1433606.4594937353,3424700.904166231,51188744.784166224,280964.964
Vac_69,SOC,43178.127227658384,41267.6437568483,1910.4834708100814,3488.054135933079,3324.127742964684,39.84230012853308,3545690.996761492,-5125.766485978893,3540565.230275513,2580468.7962251636,-3571.250520477674,2576897.545704686,5882347.806210369,3601156.246071188,1418145.087712133,5019301.33378332,0,0,0,3496811.2021695864,2583311.5121668265,984358.6425108358,3567670.154677662,7064481.356847249,0,0
Vac_69,Vac,18068.31704706152,16969.359041673546,1098.958005387973,1547.3749183404827,1451.1613779675115,25.99191101975733,3545775.1924502947,-2243.7041926901916,3543531.4882576047,2580514.792332465,-1362.1481120371882,2579152.6442204276,3473737.709289573,1472806.4321707669,619096.9597957658,2091903.3919665327,45663834.3,45663834.3,51229475.40125611,1862242.1597680242,919680.7464092817,378879.7866494971,1298560.5330587788,3160802.692826803,48824636.9928268,268610.79
Vac_70,SOC,41319.17075944295,39433.33272608283,1885.838033360124,3387.7342333171773,3225.181053789536,39.58847532132554,3348324.12694265,-4934.363197245369,3343389.763745405,2465735.7970478567,-3497.428826083121,2462238.3682217738,5817171.540015549,3436455.691287583,1375932.28121091,4812387.972498493,0,0,0,3557051.949334129,2502280.553240406,974719.1275661875,3476999.680806593,7034051.630140723,0,0
Vac_70,Vac,16608.30799942187,15574.137441986704,1034.1705574351688,1429.7906537110787,1339.1914347668926,24.647755832947865,3348412.104949377,-2070.6237632654656,3346341.4811861115,2465784.940362348,-1284.2115885384492,2464500.72877381,3274299.4944722746,1351015.1433417175,571328.1502915483,1922343.293633266,45344015.85,45344015.85,50540658.63810554,1803929.005807719,860486.0655133128,357912.02956210595,1218398.0950754187,3022327.1008831374,48366342.95088314,266729.505
Vac_71,SOC,38817.266435092875,36987.35357499816,1829.912860094718,3227.866719670979,3069.386418257767,38.70461905097258,3103932.052497104,-4663.58813605797,3099268.464361046,2312384.3568051974,-3361.6543763367026,2309022.7024288606,5656030.136200165,3219098.072931363,1309466.906184669,4528564.979116032,0,0,0,3555383.2949380223,2378782.10914203,946004.0940366623,3324786.203178692,6880169.498116715,0,0
Vac_71,Vac,14969.4525801937,14015.435520377003,954.0170598166964,1294.8569876445888,1211.2384393676084,22.908810613244835,3104022.112670782,-1873.6168760306373,3102148.4957947517,2312435.797135237,-1187.1595049297503,2311248.6376303076,3025403.2259613206,1215225.1329932557,516740.6236035056,1731965.7565967613,44292515.19,44292515.19,49049884.17255808,1712820.1367561638,789516.1278512647,331307.63051988126,1120823.758371146,2833643.8951273095,47126159.08512731,260544.207
Vac_72,SOC,35779.43439277416,34032.52516894866,1746.9092238255014,3017.339109469179,2865.3175154320675,37.247893522786306,2824050.480666142,-4325.279107957616,2819725.2015581843,2127586.902234583,-3168.8290100115137,2124418.0732245715,5411015.815636949,2958028.045502975,1222406.6803225412,4180434.7258255165,0,0,0,3494994.1810049727,2217077.7856058716,899907.4871957686,3116985.2728016404,6611979.453806613,0,0
Vac_72,Vac,13231.204524666731,12367.802977688507,863.4015469782253,1149.8226704008443,1074.1201111375344,20.88198241236386,2824140.8096491494,-1662.54900415827,2822478.2606449914,2127639.651563419,-1075.9799506930042,2126563.6716127256,2742358.125683519,1071864.731279669,458242.9668794736,1530107.6981591429,42534375.87,42534375.87,46806841.69384266,1595345.7485907462,710175.1230400949,300611.8201762063,1010786.9432163012,2606132.6918070475,45140508.561807044,250202.21099999998
Vac_73,SOC,34063.02706753675,32336.981617801124,1726.0454497356232,2910.6303619101477,2759.727285331512,37.12707348651612,2654361.461547952,-4143.771325780162,2650217.690222172,2021627.1257956973,-3084.119029367017,2018543.0067663305,5358571.804169345,2807128.209785196,1177359.5949798021,3984487.804764998,0,0,0,3554524.7257068176,2133208.813752625,882449.9760588603,3015658.7898114854,6570183.515518303,0,0
Vac_73,Vac,12070.36770138549,11263.808891477767,806.558809907724,1053.4183996196773,982.6870974058394,19.638549831828897,2654454.8588107447,-1522.5798420032033,2652932.2789687417,2021682.8875969779,-1006.4111290424801,2020676.4764679354,2565716.31727932,975764.237341463,419235.65750252554,1394999.8948439886,42292890.36,42292890.36,46253606.57212331,1533741.4479383125,659258.2776359807,281305.8681685816,940564.1458045624,2474305.593742875,44767195.95374288,248781.70799999998
Vac_74,SOC,32719.11432545696,30998.333073886457,1720.7812515705057,2830.664814272693,2679.459816232553,37.4426820425416,2516709.840183284,-4005.7309844758583,2512704.109198808,1936895.9154643049,-3027.5252100045186,1933868.3902543003,5356543.459875489,2687697.346660855,1143115.7494336462,3830813.0960945017,0,0,0,3643686.4027510635,2070219.4719392813,871711.5606033055,2941931.032542587,6585617.43529365,0,0
Vac_74,Vac,11103.429516067452,10344.078352319755,759.3511637476968,972.9191374177171,906.3087164568667,18.61762147549003,2516807.0981467064,-1406.001862601522,2515401.0962841045,1936955.2807226575,-949.0785576912091,1936006.2021649664,2419363.561935264,895723.0811380991,386650.9814233842,1282374.0625614834,42512452.5,42512452.5,46214190.12449675,1485501.6591704697,617074.5130326106,265299.23311120033,882373.7461438109,2367875.4053142807,44880327.90531428,250073.25
Vac_75,SOC,31456.507016267093,29734.17256649522,1722.3344497718704,2755.6478394865685,2603.5541327631395,37.89449853617782,2388248.3706933768,-3876.044460859605,2384372.326232517,1856513.3040558107,-2973.6904865368497,1853539.6135692738,5375668.823990066,2574922.04983479,1110732.7363652089,3685654.7861999986,0,0,0,3749818.018361581,2009569.3709141368,861457.3400834732,2871026.71099761,6620844.729359191,0,0
Vac_75,Vac,10217.20745240847,9501.698077905414,715.5093745030543,899.1181723779885,836.3340356837346,17.645990031073325,2388349.5153566427,-1298.703287166662,2387050.812069476,1856576.4270482766,-895.2101120615337,1855681.216936215,2282986.467204076,822415.3458448388,356798.262913193,1179213.6087580319,42893771.339999996,42893771.339999996,46355971.4159621,1440319.1178249419,577650.6044247786,250339.47114077525,827990.0755655539,2268309.1933904956,45162080.53339049,252316.302
Vac_76,SOC,30925.919637715586,29159.279834016055,1766.6398036995295,2737.015264041468,2580.3692584175183,39.33416405144466,2335357.938104548,-3835.5853217383765,2331522.3527828096,1837138.857873987,-2985.702568431401,1834153.1553055553,5529451.798595822,2522560.371001516,1100841.565446145,3623401.936447661,0,0,0,3952859.030580585,1994063.058531651,867368.8882002331,2861431.946731884,6814290.977312469,0,0
Vac_76,Vac,9612.830875947073,8923.12775338993,689.7031225571416,848.8639763228596,788.339434069688,17.098692763444966,2335465.2815163876,-1226.513161867755,2334238.7683545197,1837207.3400344718,-863.1869905901877,1836344.1530438818,2203721.897882697,772059.2829580699,336322.72353005316,1108382.006488123,44348678.43,44348678.43,47660782.33437082,1428600.144718201,552793.4913036254,241131.93161405026,793925.4229176757,2222525.5676358766,46571203.99763588,260874.579
Vac_77,SOC,31059.44331324811,29205.962122545887,1853.481190702223,2775.5718465074992,2610.5158086973865,41.83518174643245,2335991.6839569765,-3877.6989021188083,2332113.9850548576,1859426.6397841175,-3061.037871621928,1856365.6019124957,5818986.345301204,2524129.750525028,1113702.7385106713,3637832.4890356995,0,0,0,4258906.869352701,2020050.7794743257,890913.9857450903,2910964.765219416,7169871.634572118,0,0
Vac_77,Vac,9239.705842353917,8560.332535316942,679.3733070369747,818.8354270381155,759.1938708481613,16.927040662888437,2336107.7826068182,-1183.3826275913455,2334924.399979227,1859502.342079368,-850.1079067994903,1858652.2341725684,2173753.7909537223,740393.1469540107,323888.5932837985,1064281.7402378093,47000174.55,47000174.55,50238210.08119153,1447816.4628127578,540256.8410339069,237217.29625392533,777474.1372878322,2225290.60010059,49225465.15010059,276471.615
Vac_78,SOC,22159.714433303572,20779.518839534543,1380.1955937690307,1993.3040142539594,1869.972828377517,31.696717663592857,1661040.6026122584,-2785.0609544840736,1658255.5416577745,1337549.05159075,-2228.5688276417277,1335320.482763108,4348079.5136652375,1794673.6855786392,797771.0201815531,2592444.705760192,0,0,0,3252815.1683544293,1453717.671130943,647199.2524519569,2100916.9235829,5353732.09193733,0,0
Vac_78,Vac,6310.6693486625945,5835.414803991667,475.2545446709281,560.514360395308,518.7812892001236,11.910930696141133,1661129.5968303974,-811.3183794165309,1660318.2784509808,1337608.3489251232,-594.7675329910751,1337013.5813921322,1522960.440245637,504592.879132693,221323.3647332605,725916.2438659535,35463637.44,35463637.44,37712514.124111585,1041533.1147145779,375172.10463632306,165444.17897934339,540616.2836156664,1582149.3983302442,37045786.83833024,208609.63199999998
Vac_79,SOC,19702.971529375445,18422.187848259724,1280.7836811157235,1781.4791929732676,1666.783195420167,30.00369792358483,1473124.4532438999,-2492.8800468804984,1470631.5731970193,1199807.590310084,-2021.246167979118,1197786.344142105,4049873.1538272146,1590227.6979008822,711085.9099410232,2301313.6078419057,0,0,0,3093158.13543645,1303376.3422956078,584680.3029656934,1888056.6452613012,4981214.780697751,0,0
Vac_79,Vac,5373.41773363412,4959.003759174544,414.41397445957557,478.14592770139853,441.75686147669256,10.454633500088098,1473209.2295522029,-693.4580896492937,1472515.7714625536,1199865.3021154366,-518.6533312119814,1199346.6487842246,1330131.8613643846,428724.419601443,188463.07106945515,617187.4906708981,33439954.38,33439954.38,35387273.73203528,933652.5511691786,324732.7455525942,143721.55343625255,468454.2989888468,1402106.8501580255,34842061.23015802,196705.614
Vac_80,SOC,17907.514041190967,16689.771072947733,1217.7429682432362,1624.5063465059577,1515.2983237012484,29.102898950789644,1336918.1786479312,-2280.9249621074077,1334637.2536858239,1101131.3512493353,-1873.120000968732,1099258.2312483666,3864995.7841614676,1440184.0699683982,646459.1737557016,2086643.2437240998,0,0,0,3012381.056258296,1193934.647662857,538325.4791882106,1732260.1268510676,4744641.183109364,0,0
Vac_80,Vac,4680.080661757047,4309.971607250086,370.1090545069613,416.92012619183674,384.42302151847645,9.397029516710315,1337000.4793469703,-606.3093205084909,1336394.1700264618,1101188.5807157555,-462.4951520547997,1100726.0855637006,1189841.5394569396,372567.3130447563,164003.2097814825,536570.5228262388,32334096.900000002,32334096.900000002,34060508.96228318,857224.9511444512,287387.6196296639,127504.1096829182,414891.72931258206,1272116.6804570332,33606213.58045704,190200.57
Vac_81,SOC,15096.611238297402,14023.46550656131,1073.1457317360932,1373.2162247158255,1276.8702383074217,26.25851338246097,1127212.1714108095,-1935.8999910328162,1125276.2714197766,938563.6060703442,-1609.1217641488356,936954.4843061953,3419907.7434050823,1209758.240370189,544740.5744059966,1754498.8147761857,0,0,0,2715584.437431611,1013819.1466459442,459147.91049141914,1472967.0571373634,4188551.4945689742,0,0
Vac_81,Vac,3786.364068240831,3479.29443889547,307.0696293453607,337.68694728263904,310.72244694913763,7.863895029318725,1127286.093820591,-492.4759526719144,1126793.617867919,938616.0921064946,-382.88663235372013,938233.2054741409,988995.1669204932,300723.9185674998,132560.94405981287,433284.86262731266,29080898.7,29080898.7,30503178.729547806,730610.3450021488,236088.05153783696,104998.51925673046,341086.5707945674,1071696.9157967162,30152595.615796715,171064.11
Vac_82,SOC,12157.502623013557,11251.375795325082,906.1268276884759,1101.9401648892085,1020.7799812333054,22.668860564208785,908679.7415092023,-1569.4692694029459,907110.2722397993,764685.2289578916,-1319.8593885862883,763365.3695693053,2899159.7277822616,970968.9002849864,435486.90903491405,1406455.8093199003,0,0,0,2344828.714783942,822317.9541891603,370930.16572293587,1193248.119912096,3538076.834696038,0,0
