Scenario,Agp0,Arm,Year0,N0,Index,A,M,L,U
"Vac[70,75)","[70,75)",Vac,2024,1,Risk_Hosp,0.003761178208744753,0.003934290438263849,0.0018729095787751557,0.004903592707772885
"Vac[70,75)","[70,75)",Vac,2024,1,Risk_PHN,0.005784986729728426,0.006294040138659819,0.003244629327275657,0.0068105781234141455
"Vac[70,75)","[70,75)",Vac,2024,1,Risk_Death,5.9779772371382e-7,6.707424350939355e-7,1.324289260478311e-7,8.536769770709707e-7
"Vac[70,75)","[70,75)",Vac,2024,1,Q_Life,30920586.58521829,30920536.621963777,30920311.19430202,30921058.95638425
"Vac[70,75)","[70,75)",Vac,2024,1,Q_HZ,-21429.49942329198,-22647.430298191997,-26086.93484414675,-12373.204110956452
"Vac[70,75)","[70,75)",Vac,2024,1,Q_All,30899157.085795,30897865.13056966,30894276.22176424,30908685.75227329
"Vac[70,75)","[70,75)",Vac,2024,1,Q_HZ_d,-14396.827384101047,-14930.596527583575,-17269.03353675206,-8921.19039858683
"Vac[70,75)","[70,75)",Vac,2024,1,Q_Life_d,23234900.16287473,23234876.512909476,23234761.198223088,23235136.50113244
"Vac[70,75)","[70,75)",Vac,2024,1,Q_All_d,23220503.33549063,23219965.396157794,23217515.381474014,23226215.310733855
"Vac[70,75)","[70,75)",Vac,2024,1,C_Hosp,34166010.00687534,35717175.88502162,16768126.726451116,44695563.03567129
"Vac[70,75)","[70,75)",Vac,2024,1,C_GP_NonPHN,14369112.872437226,15203184.423112776,8444191.67447728,17033362.207113724
"Vac[70,75)","[70,75)",Vac,2024,1,C_GP_PHN,6129340.119413857,6577278.610257402,3481984.8579435972,7171976.510767302
"Vac[70,75)","[70,75)",Vac,2024,1,C_GP,20498452.991851084,21601550.2207139,11926176.53242088,23929117.062767968
"Vac[70,75)","[70,75)",Vac,2024,1,C_Med,54664462.99872642,58154054.54349737,28694303.258871995,66578731.69058644
"Vac[70,75)","[70,75)",Vac,2024,1,C_VacZVL,0,0,0,0
"Vac[70,75)","[70,75)",Vac,2024,1,C_VacRZV,452594740,452594740,452594740,452594740
"Vac[70,75)","[70,75)",Vac,2024,1,C_Vac,452594740,452594740,452594740,452594740
"Vac[70,75)","[70,75)",Vac,2024,1,C_All,507259202.9987264,510748794.5434974,481289043.258872,519173471.6905864
"Vac[70,75)","[70,75)",Vac,2024,1,C_Hosp_d,20746871.133910462,21680383.28459184,10636680.461404376,26923768.015643697
"Vac[70,75)","[70,75)",Vac,2024,1,C_GP_NonPHN_d,9844176.226893812,10149081.596216,6219847.71734678,11555199.17869341
"Vac[70,75)","[70,75)",Vac,2024,1,C_GP_PHN_d,4155188.8096206337,4363496.821383132,2518210.5976109365,4868644.9681960605
"Vac[70,75)","[70,75)",Vac,2024,1,C_GP_d,13999365.036514446,14529640.568549689,8738058.314957716,16285122.657165924
"Vac[70,75)","[70,75)",Vac,2024,1,C_Med_d,34746236.17042491,36850074.511724204,19374738.77636209,41657850.39421019
"Vac[70,75)","[70,75)",Vac,2024,1,C_VacZVL_d,0,0,0,0
"Vac[70,75)","[70,75)",Vac,2024,1,C_VacRZV_d,452594740,452594740,452594740,452594740
"Vac[70,75)","[70,75)",Vac,2024,1,C_Vac_d,452594740,452594740,452594740,452594740
"Vac[70,75)","[70,75)",Vac,2024,1,C_All_d,487340976.1704249,489444814.5117242,471969478.7763621,494252590.39421016
"Vac[70,75)","[70,75)",Vac,2024,1,N_VacZVL,0,0,0,0
"Vac[70,75)","[70,75)",Vac,2024,1,N_VacRZV,5324644,5324644,5324644,5324644
"Vac[70,75)","[70,75)",Vac,2024,1,N_VacZVL_d,0,0,0,0
"Vac[70,75)","[70,75)",Vac,2024,1,N_VacRZV_d,5324644,5324644,5324644,5324644
"Vac[70,75)","[70,75)",Vac1,2024,1,Year_Life,15.249998063219543,15.249984179230722,15.249844429043247,15.250240137837688
"Vac[70,75)","[70,75)",Vac1,2024,1,Year_Immunised,6.413154361229116,6.137708585800574,5.2663011607762265,9.136186568665021
"Vac[70,75)","[70,75)",Vac1,2024,1,Risk_HZ,0.0808481410016894,0.08353027829147003,0.05467573220339782,0.09081705952486023
"Vac[70,75)","[70,75)",Vac1,2024,1,Risk_Hosp,0.004364005038779218,0.004466017785836267,0.0026229783381491244,0.005470994554595152
"Vac[70,75)","[70,75)",Vac1,2024,1,Risk_PHN,0.007038885755707655,0.0073789964906761756,0.004640228775576633,0.008065440622426695
"Vac[70,75)","[70,75)",Vac1,2024,1,Risk_Death,7.28739500272376e-7,7.913154740154458e-7,2.3493495516769365e-7,1.0006012559853284e-6
"Vac[70,75)","[70,75)",Vac1,2024,1,Q_Life,30920430.308772784,30920405.141445104,30920148.57133237,30920873.78608493
"Vac[70,75)","[70,75)",Vac1,2024,1,Q_HZ,-26063.91997630148,-26846.39243537398,-30503.937698597212,-17695.30193391877
"Vac[70,75)","[70,75)",Vac1,2024,1,Q_All,30894366.388796482,30893507.831031136,30889709.595422465,30903178.484151017
"Vac[70,75)","[70,75)",Vac1,2024,1,Q_HZ_d,-17948.802273624264,-18376.319703433222,-20774.42803847305,-12863.013284135719
"Vac[70,75)","[70,75)",Vac1,2024,1,Q_Life_d,23234811.8443182,23234801.494696885,23234667.083624315,23235035.520772673
"Vac[70,75)","[70,75)",Vac1,2024,1,Q_All_d,23216863.042044576,23216436.871345207,23213892.655585844,23222165.97442235
"Vac[70,75)","[70,75)",Vac1,2024,1,C_Hosp,39415989.35590953,40512069.48960008,23413506.08454566,49593829.582640395
"Vac[70,75)","[70,75)",Vac1,2024,1,C_GP_NonPHN,17670606.23896133,18062224.122270063,12138997.61260484,19950297.838558923
"Vac[70,75)","[70,75)",Vac1,2024,1,C_GP_PHN,7488222.63150471,7722652.106389013,4986189.269699428,8634204.861889143
"Vac[70,75)","[70,75)",Vac1,2024,1,C_GP,25158828.870466042,26159412.546399288,17125186.882304266,28037541.765014205
"Vac[70,75)","[70,75)",Vac1,2024,1,C_Med,64574818.226375565,67115931.14275214,40538692.96684992,75800666.61052278
"Vac[70,75)","[70,75)",Vac1,2024,1,C_VacZVL,0,0,0,0
"Vac[70,75)","[70,75)",Vac1,2024,1,C_VacRZV,226297370,226297370,226297370,226297370
"Vac[70,75)","[70,75)",Vac1,2024,1,C_Vac,226297370,226297370,226297370,226297370
"Vac[70,75)","[70,75)",Vac1,2024,1,C_All,290872188.2263756,293413301.1427522,266836062.96684992,302098036.61052275
"Vac[70,75)","[70,75)",Vac1,2024,1,C_Hosp_d,24396884.252951063,24902577.047437906,14998285.632722111,30432941.097124085
"Vac[70,75)","[70,75)",Vac1,2024,1,C_GP_NonPHN_d,12413957.171492497,12549726.032194916,9013134.904114516,13947958.120309513
"Vac[70,75)","[70,75)",Vac1,2024,1,C_GP_PHN_d,5194816.569493264,5253361.867379674,3636736.4264920503,5989239.057661947
"Vac[70,75)","[70,75)",Vac1,2024,1,C_GP_d,17608773.74098576,18093486.034995563,12649871.330606569,19620938.395878844
"Vac[70,75)","[70,75)",Vac1,2024,1,C_Med_d,42005657.99393682,43514960.929704234,27648156.963328682,48908929.59689341
"Vac[70,75)","[70,75)",Vac1,2024,1,C_VacZVL_d,0,0,0,0
"Vac[70,75)","[70,75)",Vac1,2024,1,C_VacRZV_d,226297370,226297370,226297370,226297370
"Vac[70,75)","[70,75)",Vac1,2024,1,C_Vac_d,226297370,226297370,226297370,226297370
"Vac[70,75)","[70,75)",Vac1,2024,1,C_All_d,268303027.99393684,269812330.92970425,253945526.9633287,275206299.59689337
"Vac[70,75)","[70,75)",Vac1,2024,1,N_VacZVL,0,0,0,0
"Vac[70,75)","[70,75)",Vac1,2024,1,N_VacRZV,2662322,2662322,2662322,2662322
"Vac[70,75)","[70,75)",Vac1,2024,1,N_VacZVL_d,0,0,0,0
"Vac[70,75)","[70,75)",Vac1,2024,1,N_VacRZV_d,2662322,2662322,2662322,2662322
"Vac[75,80)","[75,80)",SOC,2024,1,Year_Life,11.840890166096258,11.840919686230643,11.840757152925903,11.840943429573656
"Vac[75,80)","[75,80)",SOC,2024,1,Year_Immunised,0,0,0,0
"Vac[75,80)","[75,80)",SOC,2024,1,Risk_HZ,0.10995486723861608,0.10949035119313977,0.10789571941661999,0.11237271826142317
"Vac[75,80)","[75,80)",SOC,2024,1,Risk_Hosp,0.006150685612547516,0.006088628421879722,0.0055338819518610735,0.007114760526940239
"Vac[75,80)","[75,80)",SOC,2024,1,Risk_PHN,0.009839300377570597,0.009723099695229234,0.009528141532701062,0.010292002836755012
"Vac[75,80)","[75,80)",SOC,2024,1,Risk_Death,1.2569243108206518e-6,1.2109722181476437e-6,1.1695652218929353e-6,1.4942474420663277e-6
"Vac[75,80)","[75,80)",SOC,2024,1,Q_Life,21829455.425546665,21829504.615366817,21829233.116311602,21829545.028144673
"Vac[75,80)","[75,80)",SOC,2024,1,Q_HZ,-32553.49471621857,-32178.22029335438,-35232.31590612256,-30301.278234566147
"Vac[75,80)","[75,80)",SOC,2024,1,Q_All,21796901.930830445,21797326.39507346,21794093.460160077,21799128.412102878
"Vac[75,80)","[75,80)",SOC,2024,1,Q_HZ_d,-25771.197725427326,-25477.586654824612,-27871.38596576963,-23965.582134475415
"Vac[75,80)","[75,80)",SOC,2024,1,Q_Life_d,17247755.638312608,17247784.900976017,17247620.062271424,17247813.164699573
"Vac[75,80)","[75,80)",SOC,2024,1,Q_All_d,17221984.44058718,17222307.31432119,17219799.41541039,17223775.11434418
"Vac[75,80)","[75,80)",SOC,2024,1,C_Hosp,50565556.32767384,49978660.97898463,45503203.54627782,58513182.2030417
"Vac[75,80)","[75,80)",SOC,2024,1,C_GP_NonPHN,21781596.03600557,21750433.426430076,21275828.615269586,22271005.557855204
"Vac[75,80)","[75,80)",SOC,2024,1,C_GP_PHN,9535593.42979689,9392081.088487111,8944607.63581102,10836471.419643138
"Vac[75,80)","[75,80)",SOC,2024,1,C_GP,31317189.465802457,31142514.514917187,30306569.989941373,32787416.55996548
"Vac[75,80)","[75,80)",SOC,2024,1,C_Med,81882745.7934763,80958155.14878494,76503167.83096574,89043848.3043946
"Vac[75,80)","[75,80)",SOC,2024,1,C_VacZVL,0,0,0,0
"Vac[75,80)","[75,80)",SOC,2024,1,C_VacRZV,0,0,0,0
