Scenario,Age0,Arm,Index,M,L,U
Vac_64,64,Vac,Thres20,63.29275678218344,46.23085441560475,108.75997263492684
Vac_64,64,Vac,Thres30,92.55623121822669,67.68900009436112,158.94513127281027
Vac_64,64,Vac,ICER,31603.574795333017,17835.19027535608,43773.58649156838
Vac_64,64,Vac1,N0,1,1,1
Vac_64,64,Vac1,AvtHZ,0.3022364011017955,0.2108967243563261,0.5486501508898932
Vac_64,64,Vac1,AvtDeath,0.19077310992847976,0.06716102267317532,0.7653484314356451
Vac_64,64,Vac1,dQ_HZ_d,0.004501269429306763,0.0032649248243297397,0.008094914378729487
Vac_64,64,Vac1,dQ_Life_d,5.1977123585622564e-5,2.7446775067119234e-5,1.4848101470770202e-4
Vac_64,64,Vac1,dQ_All_d,0.004552615883822497,0.003292728296573344,0.008218497573687554
Vac_64,64,Vac1,dC_Vac_d,85,85,85
Vac_64,64,Vac1,dC_VacRZV_d,85,85,85
Vac_64,64,Vac1,dC_Med_d,-6.7443641135994135,-13.520000688855173,-4.724193162530909
Vac_64,64,Vac1,dC_All_d,102.94064271730852,96.16001349423118,105.71940827424714
Vac_64,64,Vac1,dN_VacRZV_d,1,1,1
Vac_64,64,Vac1,Thres20,98.21861798982735,70.86249387649242,177.87291994378072
Vac_64,64,Vac1,Thres30,143.74477682805232,103.79726034425725,260.0578956806563
Vac_64,64,Vac1,ICER,22764.01906573913,11842.15828790771,31748.564973055923
Vac_65,65,Vac,N0,1,1,1
Vac_65,65,Vac,AvtHZ,0.4049016113673535,0.29109113091528427,0.6837782183573338
Vac_65,65,Vac,AvtDeath,0.3053327197414587,0.11628424985430065,0.8814341234552214
Vac_65,65,Vac,dQ_HZ_d,0.005958968918210619,0.0044013687963880355,0.009940476215529681
Vac_65,65,Vac,dQ_Life_d,7.799578002565255e-5,4.398783615218171e-5,1.909661660675965e-4
Vac_65,65,Vac,dQ_All_d,0.006042157401182635,0.004459156752929605,0.010105900345423713
Vac_65,65,Vac,dC_Vac_d,170,170,170
Vac_65,65,Vac,dC_VacRZV_d,170,170,170
Vac_65,65,Vac,dC_Med_d,-9.387029645674275,-17.327763724476274,-6.5873675653178285
Vac_65,65,Vac,dC_All_d,185.50003826311408,177.91561920894463,188.95536248072932
Vac_65,65,Vac,dN_VacRZV_d,2,2,2
Vac_65,65,Vac,Thres20,65.20001454308304,48.088147589854856,109.6559841432284
Vac_65,65,Vac,Thres30,95.43600937937484,70.38393135450289,160.18548587034695
Vac_65,65,Vac,ICER,30667.416250775757,17699.948996516134,42165.21772176647
Vac_65,65,Vac1,N0,1,1,1
Vac_65,65,Vac1,AvtHZ,0.3141632759424689,0.22212019325205068,0.5563249752394668
Vac_65,65,Vac1,AvtDeath,0.20943774064426923,0.07819043719994709,0.7673644205701111
Vac_65,65,Vac1,dQ_HZ_d,0.0046547886607791605,0.003412126417530986,0.00816857701673989
Vac_65,65,Vac1,dQ_Life_d,5.6977680155334554e-5,3.1151171112631104e-5,1.5437409300367294e-4
Vac_65,65,Vac1,dQ_All_d,0.00471382432310552,0.0034436874823650767,0.008299643339150453
Vac_65,65,Vac1,dC_Vac_d,85,85,85
Vac_65,65,Vac1,dC_VacRZV_d,85,85,85
Vac_65,65,Vac1,dC_Med_d,-7.081864224643148,-13.885003227830534,-5.002616173634689
Vac_65,65,Vac1,dC_All_d,102.86540865551817,96.11907755288755,105.73848328482171
Vac_65,65,Vac1,dN_VacRZV_d,1,1,1
Vac_65,65,Vac1,Thres20,101.60231804755526,74.18170944936529,179.8778700108396
Vac_65,65,Vac1,Thres30,148.74056127861047,108.61858427301604,262.87430340234414
Vac_65,65,Vac1,ICER,21901.933112701285,11711.103022301577,30353.26295486179
Vac_66,66,Vac,N0,1,1,1
Vac_66,66,Vac,AvtHZ,0.4190084375424023,0.3050033029786329,0.6909440191427074
Vac_66,66,Vac,AvtDeath,0.3307712590318859,0.13441349080148143,0.8826671735758261
Vac_66,66,Vac,dQ_HZ_d,0.006106101074607642,0.004554705964433617,0.009984054367469991
Vac_66,66,Vac,dQ_Life_d,8.559873077818025e-5,4.961410274395561e-5,1.9712100618640704e-4
Vac_66,66,Vac,dQ_All_d,0.006193148791497904,0.004612106226701985,0.010163119225711713
Vac_66,66,Vac,dC_Vac_d,170,170,170
Vac_66,66,Vac,dC_VacRZV_d,170,170,170
Vac_66,66,Vac,dC_Med_d,-9.734620987524268,-17.696311954443402,-6.978372962260854
Vac_66,66,Vac,dC_All_d,185.31732218487082,177.86388940288862,188.86941758899528
Vac_66,66,Vac,dN_VacRZV_d,2,2,2
Vac_66,66,Vac,Thres20,67.08190726280684,49.64445134263275,110.44253842357645
Vac_66,66,Vac,Thres30,98.15786401864393,72.70498247614267,161.258134552135
Vac_66,66,Vac,ICER,29837.19318284029,17585.747364108232,40969.34075057824
Vac_66,66,Vac1,N0,1,1,1
Vac_66,66,Vac1,AvtHZ,0.32543201008975386,0.23275528638275006,0.5650952997859676
Vac_66,66,Vac1,AvtDeath,0.22947995168153745,0.09073139952053019,0.7692764206377143
Vac_66,66,Vac1,dQ_HZ_d,0.004759705073804714,0.0035354788133043274,0.008231291030743666
Vac_66,66,Vac1,dQ_Life_d,6.281370889027471e-5,3.527561347169695e-5,1.6013462401285312e-4
Vac_66,66,Vac1,dQ_All_d,0.004826474762515964,0.0035712219301055727,0.008369993260349949
Vac_66,66,Vac1,dC_Vac_d,85,85,85
Vac_66,66,Vac1,dC_VacRZV_d,85,85,85
Vac_66,66,Vac1,dC_Med_d,-7.394569865210228,-14.284114029228071,-5.2625535866231115
Vac_66,66,Vac1,dC_All_d,102.7569395436506,96.08674829555915,105.71228571690199
Vac_66,66,Vac1,dN_VacRZV_d,1,1,1
Vac_66,66,Vac1,Thres20,104.19281532538372,77.01352459209187,181.68397923622706
Vac_66,66,Vac1,Thres30,152.45756295054338,112.7257438931476,265.3839118397265
Vac_66,66,Vac1,ICER,21331.887375409417,11597.279969357347,29424.52429499404
Vac_67,67,Vac,N0,1,1,1
Vac_67,67,Vac,AvtHZ,0.43485999387586094,0.318479142864744,0.697924285674367
Vac_67,67,Vac,AvtDeath,0.35766823436768713,0.1541420904778389,0.8838246647347006
