Scenario,Arm,Age0,Age1,Index,A,M,L,U
Overall,ReRZV_1d,60,82,Q_All,19.165385888479257,19.16533870529774,19.155934704592525,19.17432903419472
Overall,ReRZV_1d,60,82,Q_HZ_d,-0.022111316988883026,-0.02216086771618317,-0.03152892038894775,-0.01320125112719841
Overall,ReRZV_1d,60,82,Q_HZ_Norm_d,-0.008928464148791155,-0.00849173541950039,-0.016666318800487932,-0.0036340935968480533
Overall,ReRZV_1d,60,82,Q_Life_d,19.205400314660587,19.205403044911048,19.205328417236274,19.205466893616837
Overall,ReRZV_1d,60,82,Q_All_d,19.183288997671703,19.183241244606414,19.173838608238547,19.19223143421098
Overall,ReRZV_1d,60,82,C_Hosp,18.068629635195197,18.048011174064882,14.543194964916992,21.56613625567662
Overall,ReRZV_1d,60,82,C_GP_NonPHN,12.966737996540624,12.977406820309197,12.027616443951821,13.861547972051456
Overall,ReRZV_1d,60,82,C_GP_PHN,4.414871045596259,4.423233528352519,3.8613310012056536,4.911674568589438
Overall,ReRZV_1d,60,82,C_GP,17.381609042136883,17.397720112158517,15.998549573849393,18.644628844114997
Overall,ReRZV_1d,60,82,C_Med,35.45023867733208,35.43599926503227,31.16263114761846,39.577532044792314
Overall,ReRZV_1d,60,82,C_VacZVL,110,110,110,110
Overall,ReRZV_1d,60,82,C_VacRZV,57.43659047642718,57.43659601474987,57.43629874735613,57.43685659616164
Overall,ReRZV_1d,60,82,C_Vac,167.43659047642717,167.43659601474985,167.43629874735612,167.43685659616165
Overall,ReRZV_1d,60,82,C_All,202.88682915375927,202.8726261366632,198.59943711420368,207.01427882548415
Overall,ReRZV_1d,60,82,C_Hosp_d,18.068629635195197,18.048011174064882,14.543194964916992,21.56613625567662
Overall,ReRZV_1d,60,82,C_GP_NonPHN_d,12.966737996540624,12.977406820309197,12.027616443951821,13.861547972051456
Overall,ReRZV_1d,60,82,C_GP_PHN_d,4.414871045596259,4.423233528352519,3.8613310012056536,4.911674568589438
Overall,ReRZV_1d,60,82,C_GP_d,17.381609042136883,17.397720112158517,15.998549573849393,18.644628844114997
Overall,ReRZV_1d,60,82,C_Med_d,35.45023867733208,35.43599926503227,31.16263114761846,39.577532044792314
Overall,ReRZV_1d,60,82,C_VacZVL_d,110,110,110,110
Overall,ReRZV_1d,60,82,C_VacRZV_d,57.43659047642718,57.43659601474987,57.43629874735613,57.43685659616164
Overall,ReRZV_1d,60,82,C_Vac_d,167.43659047642717,167.43659601474985,167.43629874735612,167.43685659616165
Overall,ReRZV_1d,60,82,C_All_d,202.88682915375927,202.8726261366632,198.59943711420368,207.01427882548415
Overall,ReRZV_1d,60,82,N_VacZVL,1,1,1,1
Overall,ReRZV_1d,60,82,N_VacRZV,0.6757245938403198,0.6757246589970572,0.6757211617336014,0.6757277246607252
Overall,ReRZV_1d,60,82,N_VacZVL_d,1,1,1,1
Overall,ReRZV_1d,60,82,N_VacRZV_d,0.6757245938403198,0.6757246589970572,0.6757211617336014,0.6757277246607252
Overall,ReRZV_1d,60,83,N0,1,1,1,1
Overall,ReRZV_1d,60,83,Year0,2024,2024,2024,2024
Overall,ReRZV_1d,60,83,Year_Life,24.893555078030914,24.893558271656193,24.89345271797451,24.89364890130892
Overall,ReRZV_1d,60,83,Year_Immunised,7.2935595481671776,7.276371943505678,6.264425546918656,8.433927012510305
Overall,ReRZV_1d,60,83,Risk_HZ,0.14286620503690617,0.1429286793275678,0.1326975612102726,0.15213848933508736
Overall,ReRZV_1d,60,83,Risk_Hosp,0.004453125106688973,0.004452214037770073,0.0036756192871912566,0.005244432629513998
