Age,Year,Pr,YearVac,TimeVac,N,Protection,Agp
77,2023,0.0607545272643007,2018,5,27121.853797747328,0.2996934906619066,"[75,80)"
77,2023,0.05250747396009363,2019,4,23440.229002843116,0.3436006214150238,"[75,80)"
77,2023,0.045379907404693796,2020,3,20258.36212388119,0.3954499463705082,"[75,80)"
77,2023,0.03921986415921865,2021,2,17508.414098365913,0.45745711464736993,"[75,80)"
77,2023,0.03389600888670969,2022,1,15131.754599178279,0.5333883037256864,"[75,80)"
77,2023,0.02929483421420376,2023,0,13077.7120054022,0.6318393809897801,"[75,80)"
78,2023,0.16119658925913047,NA,-1,68124.41896292593,0,"[75,80)"
78,2023,0.4821356553573988,2015,8,203758.72426017778,0.2004314777893823,"[75,80)"
78,2023,0.07029689879794924,2016,7,29708.664479292915,0.2279655700998846,"[75,80)"
78,2023,0.0607545272643007,2017,6,25675.89604885697,0.25993398330065887,"[75,80)"
78,2023,0.05250747396009363,2018,5,22190.55112259289,0.29721296983870193,"[75,80)"
78,2023,0.045379907404693796,2019,4,19178.32032764948,0.3409318665108417,"[75,80)"
78,2023,0.03921986415921865,2020,3,16574.981331376508,0.3926181576961224,"[75,80)"
78,2023,0.03389600888670969,2021,2,14325.02958767459,0.45451458585366006,"[75,80)"
78,2023,0.02929483421420376,2022,1,12380.49495110415,0.5304352192977793,"[75,80)"
78,2023,0.025318240696301283,2023,0,10699.91892834876,0.629080381920629,"[75,80)"
79,2023,0.13931514397533884,NA,-1,57199.73318310667,0,"[75,80)"
79,2023,0.4821356553573988,2014,9,197954.29310533009,0.17490199637166806,"[75,80)"
79,2023,0.07029689879794924,2015,8,28862.360114664407,0.19852326843799162,"[75,80)"
79,2023,0.0607545272643007,2016,7,24944.472295122054,0.22586714395519172,"[75,80)"
79,2023,0.05250747396009363,2017,6,21558.413643587322,0.2576372940584043,"[75,80)"
79,2023,0.045379907404693796,2018,5,18631.99162240437,0.29471598744201527,"[75,80)"
79,2023,0.03921986415921865,2019,4,16102.813386763675,0.33824262149565176,"[75,80)"
79,2023,0.03389600888670969,2020,3,13916.955536687492,0.3897611214159979,"[75,80)"
79,2023,0.02929483421420376,2021,2,12027.814441999351,0.4515414432614983,"[75,80)"
79,2023,0.025318240696301283,2022,1,10395.112628605988,0.52744600876792,"[75,80)"
79,2023,0.021881445283791625,2023,0,8984.040041728598,0.6262810868561812,"[75,80)"
80,2023,0.13931514397533884,NA,-1,51720.88651598852,0,"[80,85)"
80,2023,0.4821356553573988,2013,10,178993.34418708965,0.15286527760458857,"[80,85)"
80,2023,0.07029689879794924,2014,9,26097.793975637454,0.17316919884576604,"[80,85)"
80,2023,0.0607545272643007,2015,8,22555.1790013989,0.1966102883091237,"[80,85)"
80,2023,0.05250747396009363,2016,7,19493.45221515872,0.22376212539292642,"[80,85)"
80,2023,0.045379907404693796,2017,6,16847.336003899978,0.2553316629160393,"[80,85)"
80,2023,0.03921986415921865,2018,5,14560.413788974083,0.2922070743718782,"[80,85)"
80,2023,0.03389600888670969,2019,4,12583.92719519986,0.3355377144701917,"[80,85)"
80,2023,0.02929483421420376,2020,3,10875.73649685736,0.3868838895620495,"[80,85)"
80,2023,0.025318240696301283,2021,2,9399.422176742548,0.4485428295354828,"[80,85)"
80,2023,0.021881445283791625,2022,1,8123.508443052924,0.5244256739235198,"[80,85)"
81,2023,0.2690186057730732,NA,-1,86548.93486791888,0,"[80,85)"
81,2023,0.13574384783425075,2013,10,43671.64646908299,0.1512997327739162,"[80,85)"
81,2023,0.11731745560940253,2014,9,37743.48913611259,0.17143614170638283,"[80,85)"
81,2023,0.10139233276685833,2015,8,32620.04269008643,0.19469597101445796,"[80,85)"
81,2023,0.08762894737619419,2016,7,28192.07257881657,0.22165428512311308,"[80,85)"
81,2023,0.07573385687768452,2017,6,24365.17216854554,0.2530212066044897,"[80,85)"
81,2023,0.06545345173377919,2018,5,21057.749945243173,0.28969068781304774,"[80,85)"
81,2023,0.05656854834140258,2019,4,18199.28994094438,0.3328219139256617,"[80,85)"
81,2023,0.04888971592314278,2020,3,15728.848296509417,0.38399147542171563,"[80,85)"
81,2023,0.042253237764211936,2021,2,13593.753906740028,0.44552387703842916,"[80,85)"
82,2023,0.3112718435372851,NA,-1,86810.2931722699,0,"[80,85)"
82,2023,0.13574384783425075,2013,10,37857.46597864636,0.14973742412341248,"[80,85)"
82,2023,0.11731745560940253,2014,9,32718.547877450663,0.16970585114802264,"[80,85)"
82,2023,0.10139233276685833,2015,8,28277.206293016352,0.19278366077075668,"[80,85)"
82,2023,0.08762894737619419,2016,7,24438.74950479942,0.2195473050029252,"[80,85)"
82,2023,0.07573385687768452,2017,6,21121.33961076056,0.2507099567296324,"[80,85)"
82,2023,0.06545345173377919,2018,5,18254.247700581942,0.2871712078813504,"[80,85)"
82,2023,0.05656854834140258,2019,4,15776.345878385426,0.3300999249713775,"[80,85)"
82,2023,0.04888971592314278,2020,3,13634.803984089365,0.38108884953946653,"[80,85)"
83,2023,0.3601615594604279,NA,-1,99432.32285115655,0,"[80,85)"
83,2023,0.13574384783425075,2013,10,37475.75427853644,0.1481809979014718,"[80,85)"
83,2023,0.11731745560940253,2014,9,32388.651192277022,0.16798126455500176,"[80,85)"
83,2023,0.10139233276685833,2015,8,27992.091053275948,0.1908766108932832,"[80,85)"
83,2023,0.08762894737619419,2016,7,24192.336904777563,0.2174447760759983,"[80,85)"
83,2023,0.07573385687768452,2017,6,20908.37600522051,0.24840185729829786,"[80,85)"
83,2023,0.06545345173377919,2018,5,18070.192594306558,0.28465293460806984,"[80,85)"
83,2023,0.05656854834140258,2019,4,15617.275120449402,0.32737638581386713,"[80,85)"
84,2023,0.41673010780183045,NA,-1,108582.78015873714,0,"[80,85)"
84,2023,0.13574384783425075,2013,10,35369.28124784454,0.146633014676296,"[80,85)"
84,2023,0.11731745560940253,2014,9,30568.118916130315,0.1662652297960857,"[80,85)"
84,2023,0.10139233276685833,2015,8,26418.68483339984,0.18897798271595465,"[80,85)"
84,2023,0.08762894737619419,2016,7,22832.51089939378,0.21535019703631128,"[80,85)"
84,2023,0.07573385687768452,2017,6,19733.138014192602,0.24610076264887104,"[80,85)"
84,2023,0.06545345173377919,2018,5,17054.48593030177,0.28214008528403167,"[80,85)"
85,2023,0.48218355953560965,NA,-1,115156.52423897291,0,"[85,90)"
85,2023,0.13574384783425075,2013,10,32418.752971319267,0.14509594931924927,"[85,90)"
85,2023,0.11731745560940253,2014,9,28018.10670100434,0.16456050493071941,"[85,90)"
85,2023,0.10139233276685833,2015,8,24214.821088379405,0.18709084493727654,"[85,90)"
85,2023,0.08762894737619419,2016,7,20927.808099224825,0.213266973121319,"[85,90)"
85,2023,0.07573385687768452,2017,6,18086.98690109925,0.2438104357982402,"[85,90)"
86,2023,0.5579174164132942,NA,-1,118859.84222752102,0,"[85,90)"
86,2023,0.13574384783425075,2013,10,28919.140830304448,0.14357179423212002,"[85,90)"
86,2023,0.11731745560940253,2014,9,24993.545377938335,0.1628693175591041,"[85,90)"
86,2023,0.10139233276685833,2015,8,21600.825357317033,0.18521768507137942,"[85,90)"
86,2023,0.08762894737619419,2016,7,18668.646206919162,0.21119787587038633,"[85,90)"
87,2023,0.6455463637894884,NA,-1,121121.92759873034,0,"[85,90)"
87,2023,0.13574384783425075,2013,10,25469.210937596967,0.14206089634005417,"[85,90)"
87,2023,0.11731745560940253,2014,9,22011.92224362537,0.161192072163107,"[85,90)"
87,2023,0.10139233276685833,2015,8,19023.939220047327,0.18335897487994296,"[85,90)"
88,2023,0.7469386965563467,NA,-1,122208.88095967355,0,"[85,90)"
88,2023,0.13574384783425075,2013,10,22209.45817570527,0.1405631974629663,"[85,90)"
88,2023,0.11731745560940253,2014,9,19194.660864621175,0.15952872376495372,"[85,90)"
89,2023,0.8642561521657492,NA,-1,118804.10770131256,0,"[85,90)"
89,2023,0.13574384783425075,2013,10,18659.892298687446,0.13907863845079257,"[85,90)"
90,2023,1,NA,-1,117011,0,"[90,95)"
91,2023,1,NA,-1,99892,0,"[90,95)"
92,2023,1,NA,-1,82445,0,"[90,95)"
93,2023,1,NA,-1,67028,0,"[90,95)"
94,2023,1,NA,-1,50762,0,"[90,95)"
95,2023,1,NA,-1,37804,0,"[95,100)"
96,2023,1,NA,-1,28089,0,"[95,100)"
97,2023,1,NA,-1,20125,0,"[95,100)"
98,2023,1,NA,-1,13846,0,"[95,100)"
99,2023,1,NA,-1,9200,0,"[95,100)"
