Scenario,Age0,Age1,Arm,Year0,ICER_A,ICER25_A,ICER50_A,ICER75_A,ICER100_A,ICER_Thres_A,ICER_M,ICER25_M,ICER50_M,ICER75_M,ICER100_M,ICER_Thres_M,ICER_L,ICER25_L,ICER50_L,ICER75_L,ICER100_L,ICER_Thres_L,ICER_U,ICER25_U,ICER50_U,ICER75_U,ICER100_U,ICER_Thres_U
Overall,70,93,ReVac_RZV_1d,2024,25196.162170959255,-1029.5717021755024,-405.7274857985961,218.11673057831015,841.9609469552164,20000,23677.285733252913,-968.8571881431233,-387.22704228281475,197.89973032931664,781.2331657768964,20000,15968.748207600896,-1788.276273909047,-847.550681571136,-114.72675753171703,396.98713556604037,19999.999999999996,42709.913786441764,-641.0312059199316,-124.87668009771438,645.1124876582895,1576.926081119602,20000.000000000004
Overall,70,93,ReVac_RZV_2d,2024,26959.91641366921,-445.7562094826408,787.6525196260768,2021.0612487347944,3254.469977843512,20000,25311.49266498081,-420.6149826114797,729.7989071461303,1896.9382627020145,3058.882281582527,20000,17081.15790865662,-885.8447114424249,368.9933452637716,1189.3423747637119,1982.9644569070551,19999.999999999996,45636.69639498099,-165.45017635532025,1479.9576215361212,3533.772979446775,5570.735249129157,20000.000000000004
Overall,70,94,ReVac_RZV_1d,2024,25298.605722444765,-1107.0325747188149,-599.908002851367,-92.78343098391908,414.3411408835288,20000,23715.54184846404,-1041.1529129257938,-566.3783697543398,-95.86314328687212,378.53395340219083,20000,16018.183228094967,-1906.1730865146435,-1103.8449892213005,-443.3046576048074,52.44803461065473,19999.999999999996,42971.28811587099,-699.5746823612566,-296.48941829193274,206.6651706379549,915.3701868879268,20000.000000000004
Overall,70,94,ReVac_RZV_2d,2024,26769.250779882743,-627.3077621535823,378.63657474985877,1384.5809116532998,2390.5252485567407,20000,25070.623319275295,-592.4873057208373,346.874767723036,1299.2897479083376,2243.878113966438,20000,16977.070901803563,-1166.2669825546586,25.02936773533517,778.9347955239937,1429.7781036683198,19999.999999999996,45480.15870347189,-320.5474032897981,859.2830357278731,2471.3505156387932,4184.055398184157,20000.000000000004
Overall,70,95,ReVac_RZV_1d,2024,25348.974199653097,-1178.7770084571837,-777.1172821127046,-375.45755576822563,26.202170576253355,20000,23769.830396168643,-1106.3537543382677,-734.0247490722245,-356.9514752200363,21.32808741966286,20000,16007.805569772534,-2039.4939712619787,-1394.4714523216,-804.7202651879852,-306.6904051853106,19999.999999999996,42932.44280957719,-750.4197898497318,-447.9148797668013,-91.05116777775649,356.06958613363224,20000.000000000004
Overall,70,95,ReVac_RZV_2d,2024,26542.38906269962,-795.0660256982619,3.74532128632565,802.5566682709132,1601.3680152555007,20000,24905.265320859766,-748.9386948376166,-0.6579614609590247,746.0128287874875,1501.3111856080654,20000,16766.823625091092,-1435.9715771427036,-328.928851879311,370.0811405406704,911.5315753637054,19999.999999999996,44962.013961318866,-467.1270396981974,332.2557771878461,1504.0893426694793,2854.4453725559238,20000.000000000004
Overall,70,96,ReVac_RZV_1d,2024,25358.429928927788,-1243.98018261604,-934.5622003354446,-625.144218054849,-315.7262357742535,20000,23815.89159429698,-1166.0004738665539,-879.3690232254665,-591.4605104904495,-303.59715510206695,20000,15964.560367710978,-2121.571418979167,-1635.6789610171518,-1161.6960256517496,-708.691324849528,19999.999999999996,42850.15092951913,-788.8653944520095,-569.1349873229489,-315.4211531601522,-23.744372724614827,20000.000000000004
Overall,70,96,ReVac_RZV_2d,2024,26299.523363665,-945.7445775842214,-329.16591564946816,287.41274628528504,903.9914082200382,20000,24705.45271704167,-891.3962323271978,-315.07960610088736,264.4645282936725,840.3415825271909,20000,16568.606892632786,-1656.3452898173832,-727.1269565073328,-64.43486318842814,442.24580125095656,19999.999999999996,44467.97709686366,-578.4523479512661,-39.582663696047064,732.1727962560662,1658.16021634264,20000.000000000004
Overall,70,97,ReVac_RZV_1d,2024,25340.521591147193,-1300.0437934488548,-1068.5816736077022,-837.1195537665498,-605.6574339253972,20000,23784.233440679796,-1217.6709762121563,-1008.6214169228598,-788.7397936897266,-574.8211067811249,20000,15964.839486696055,-2214.8899979499142,-1879.1978271411292,-1485.8138602255804,-1138.0326428854225,19999.999999999996,42851.89651598408,-829.0246034336805,-671.4518233415521,-489.60594516986436,-299.7642296004682,20000.000000000004
Overall,70,97,ReVac_RZV_2d,2024,26061.089043669428,-1074.9858734299314,-613.0829295248822,-151.179985619833,310.7229582852162,20000,24443.331360050783,-1014.9418439815236,-581.1460984937332,-149.5890377166636,282.5920931259505,20000,16425.13409636952,-1892.83937403407,-1158.719500159255,-499.0820223965188,-45.819929715582674,19999.999999999996,44081.53861615168,-676.7888213783579,-306.92860051487463,147.06187007907724,773.1021202250132,20000.000000000004
