Scenario,Arm,Age0,Age1,Index,A,M,L,U
Second_80,Vac,65,NA,Q_Life,5.354008930765999,5.354010142890047,5.353932961991109,5.354079817851553
Second_80,Vac,65,NA,Q_HZ,-0.008526209759385717,-0.008532934263912398,-0.010030051696520699,-0.0068769914423868275
Second_80,Vac,65,NA,Q_HZ_Norm,-0.0019222573541616708,-0.0019223664473146881,-0.0023096941822055295,-0.0015340687592813105
Second_80,Vac,65,NA,Q_All,5.326911015460554,5.32690514447923,5.325364984194753,5.328534289887329
Second_80,Vac,65,NA,Q_HZ_d,-0.008526209759385717,-0.008532934263912398,-0.010030051696520699,-0.0068769914423868275
Second_80,Vac,65,NA,Q_HZ_Norm_d,-0.0019222573541616708,-0.0019223664473146881,-0.0023096941822055295,-0.0015340687592813105
Second_80,Vac,65,NA,Q_Life_d,5.354008930765999,5.354010142890047,5.353932961991109,5.354079817851553
Second_80,Vac,65,NA,Q_All_d,5.345482721006613,5.345476989923294,5.343937209061705,5.34710445409074
Second_80,Vac,65,NA,C_Hosp,18.100389276437756,18.039320003389413,14.71335310397276,21.696527193537204
Second_80,Vac,65,NA,C_GP_NonPHN,5.149881967967435,5.18218290501021,4.50206296623356,5.711960056796132
Second_80,Vac,65,NA,C_GP_PHN,2.2894713590666957,2.2856276302224323,1.898659898393528,2.678169462696996
Second_80,Vac,65,NA,C_GP,7.439353327034131,7.468781815473905,6.493899471429433,8.270171545541158
Second_80,Vac,65,NA,C_Med,25.539742603471886,25.584426128794853,21.458846239826972,29.53438818232963
Second_80,Vac,65,NA,C_VacZVL,0,0,0,0
Second_80,Vac,65,NA,C_VacRZV,0,0,0,0
Second_80,Vac,65,NA,C_Vac,0,0,0,0
Second_80,Vac,65,NA,C_All,25.539742603471886,25.584426128794853,21.458846239826972,29.53438818232963
Second_80,Vac,65,NA,C_Hosp_d,18.100389276437756,18.039320003389413,14.71335310397276,21.696527193537204
Second_80,Vac,65,NA,C_GP_NonPHN_d,5.149881967967435,5.18218290501021,4.50206296623356,5.711960056796132
Second_80,Vac,65,NA,C_GP_PHN_d,2.2894713590666957,2.2856276302224323,1.898659898393528,2.678169462696996
Second_80,Vac,65,NA,C_GP_d,7.439353327034131,7.468781815473905,6.493899471429433,8.270171545541158
Second_80,Vac,65,NA,C_Med_d,25.539742603471886,25.584426128794853,21.458846239826972,29.53438818232963
Second_80,Vac,65,NA,C_VacZVL_d,0,0,0,0
Second_80,Vac,65,NA,C_VacRZV_d,0,0,0,0
Second_80,Vac,65,NA,C_Vac_d,0,0,0,0
Second_80,Vac,65,NA,C_All_d,25.539742603471886,25.584426128794853,21.458846239826972,29.53438818232963
Second_80,Vac,65,NA,N_VacZVL,0,0,0,0
Second_80,Vac,65,NA,N_VacRZV,0,0,0,0
Second_80,Vac,65,NA,N_VacZVL_d,0,0,0,0
Second_80,Vac,65,NA,N_VacRZV_d,0,0,0,0
Second_80,Vac,70,NA,N0,0.8077889586365717,0.8077889782881555,0.8077875059879382,0.807790216242668
Second_80,Vac,70,NA,Year0,2024,2024,2024,2024
Second_80,Vac,70,NA,Year_Life,7.596922169704064,7.596925594439601,7.596807929919308,7.597023482962355
Second_80,Vac,70,NA,Year_Immunised,1.5024666438684546,1.4954296385352563,0.7037595552229856,2.3182146980767513
Second_80,Vac,70,NA,Risk_HZ,0.07386492056650276,0.07413340900629159,0.06344513347298017,0.08360625394147646
Second_80,Vac,70,NA,Risk_Hosp,0.005165052221374626,0.005157347746204652,0.00413311376621461,0.006301358827451592
Second_80,Vac,70,NA,Risk_PHN,0.006626996769579865,0.006611832406315046,0.005495327345343126,0.007718832011898253
Second_80,Vac,70,NA,Risk_Death,9.345091488985661e-7,9.309878866026555e-7,6.97099604372469e-7,1.2101726542263865e-6
Second_80,Vac,70,NA,Q_Life,5.669991276116525,5.669993365116876,5.669913647488175,5.670060314762911
Second_80,Vac,70,NA,Q_HZ,-0.008227341152722507,-0.008225833012633979,-0.009801076126779612,-0.006591208591163783
Second_80,Vac,70,NA,Q_HZ_Norm,-0.0018480127504767034,-0.0018460874902712229,-0.002256616970135251,-0.0014599995507152302
Second_80,Vac,70,NA,Q_All,5.642095887906252,5.642107531677807,5.640530838713539,5.643781521165582
Second_80,Vac,70,NA,Q_HZ_d,-0.008227341152722507,-0.008225833012633979,-0.009801076126779612,-0.006591208591163783
Second_80,Vac,70,NA,Q_HZ_Norm_d,-0.0018480127504767034,-0.0018460874902712229,-0.002256616970135251,-0.0014599995507152302
Second_80,Vac,70,NA,Q_Life_d,5.669991276116525,5.669993365116876,5.669913647488175,5.670060314762911
Second_80,Vac,70,NA,Q_All_d,5.661763934963802,5.661775228239527,5.660197370641897,5.663450539529136
Second_80,Vac,70,NA,C_Hosp,17.765367385617285,17.70687094216339,14.240152721829269,21.65599097247658
Second_80,Vac,70,NA,C_GP_NonPHN,4.96233295587049,4.979378009685133,4.262157584708936,5.6205364032159375
Second_80,Vac,70,NA,C_GP_PHN,2.2030345665702993,2.1992705184467365,1.8055534196490974,2.6262023913761254
Second_80,Vac,70,NA,C_GP,7.16536752244079,7.177151686041669,6.160523131409757,8.166995357606174
Second_80,Vac,70,NA,C_Med,24.930734908058074,24.928024243994564,20.680671202428886,29.266340371444475
Second_80,Vac,70,NA,C_VacZVL,0,0,0,0
Second_80,Vac,70,NA,C_VacRZV,0,0,0,0
Second_80,Vac,70,NA,C_Vac,0,0,0,0
Second_80,Vac,70,NA,C_All,24.930734908058074,24.928024243994564,20.680671202428886,29.266340371444475
Second_80,Vac,70,NA,C_Hosp_d,17.765367385617285,17.70687094216339,14.240152721829269,21.65599097247658
Second_80,Vac,70,NA,C_GP_NonPHN_d,4.96233295587049,4.979378009685133,4.262157584708936,5.6205364032159375
Second_80,Vac,70,NA,C_GP_PHN_d,2.2030345665702993,2.1992705184467365,1.8055534196490974,2.6262023913761254
Second_80,Vac,70,NA,C_GP_d,7.16536752244079,7.177151686041669,6.160523131409757,8.166995357606174
Second_80,Vac,70,NA,C_Med_d,24.930734908058074,24.928024243994564,20.680671202428886,29.266340371444475
Second_80,Vac,70,NA,C_VacZVL_d,0,0,0,0
Second_80,Vac,70,NA,C_VacRZV_d,0,0,0,0
Second_80,Vac,70,NA,C_Vac_d,0,0,0,0
Second_80,Vac,70,NA,C_All_d,24.930734908058074,24.928024243994564,20.680671202428886,29.266340371444475
Second_80,Vac,70,NA,N_VacZVL,0,0,0,0
Second_80,Vac,70,NA,N_VacRZV,0,0,0,0
Second_80,Vac,70,NA,N_VacZVL_d,0,0,0,0
Second_80,Vac,70,NA,N_VacRZV_d,0,0,0,0
Second_80,Vac,75,NA,N0,0.8863247183813896,0.8863247187867886,0.8863242146713032,0.8863251867156492
Second_80,Vac,75,NA,Year0,2024,2024,2024,2024
Second_80,Vac,75,NA,Year_Life,8.335605362408732,8.335608054242243,8.335501677058222,8.335695943179742
Second_80,Vac,75,NA,Year_Immunised,2.6982707606649727,2.6932442463490087,1.903251735917044,3.4541179248774374
