Scenario,Arm,Year0,Age0,Age1,Index,A,M,L,U
"Second_[70,75)",Vac,2024,72,NA,N_VacZVL_d,0,0,0,0
"Second_[70,75)",Vac,2024,72,NA,N_VacRZV_d,0,0,0,0
"Second_[70,75)",Vac,2024,73,NA,N0,1,1,1,1
"Second_[70,75)",Vac,2024,73,NA,Year_Life,13.492404641112106,13.492405119397185,13.492302744151658,13.492497862962797
"Second_[70,75)",Vac,2024,73,NA,Year_Immunised,3.1018274718555108,3.113534503503546,2.6061164510795876,3.6676301423842683
"Second_[70,75)",Vac,2024,73,NA,Risk_HZ,0.09823315541252783,0.09813614884438202,0.09223587596603629,0.1037801542608556
"Second_[70,75)",Vac,2024,73,NA,Risk_Hosp,0.0054919214978634565,0.005494926833810505,0.004644880898917715,0.006459008687382492
"Second_[70,75)",Vac,2024,73,NA,Risk_PHN,0.008550617812602175,0.008542755533642206,0.007759416132760185,0.009417330882991699
"Second_[70,75)",Vac,2024,73,NA,Risk_Death,9.574107599482054e-7,9.5529281428887e-7,7.924829589879192e-7,1.1318346543492288e-6
"Second_[70,75)",Vac,2024,73,NA,Q_Life,5475584.366738152,5475584.72040364,5475546.947985713,5475618.742100769
"Second_[70,75)",Vac,2024,73,NA,Q_HZ,-6368.506959515503,-6358.546793150463,-7242.282681134995,-5495.882579636953
"Second_[70,75)",Vac,2024,73,NA,Q_All,5469215.859778636,5469222.984699075,5468341.527026503,5470113.095036818
"Second_[70,75)",Vac,2024,73,NA,Q_HZ_d,-4687.187613030959,-4686.195499907368,-5328.12768194881,-4046.280107270818
"Second_[70,75)",Vac,2024,73,NA,Q_Life_d,4205718.460701741,4205718.615298869,4205698.59167214,4205737.376997745
"Second_[70,75)",Vac,2024,73,NA,Q_All_d,4201031.27308871,4201030.000545865,4200391.077275479,4201684.651632223
"Second_[70,75)",Vac,2024,73,NA,C_Hosp,9748340.161777161,9744628.5080764,8252174.188005112,11454405.060631445
"Second_[70,75)",Vac,2024,73,NA,C_GP_NonPHN,4212312.656231318,4210823.687935343,3953051.716563561,4484812.30131332
"Second_[70,75)",Vac,2024,73,NA,C_GP_PHN,1802804.2718490139,1795197.8803883777,1619102.4709540098,2013723.760233985
"Second_[70,75)",Vac,2024,73,NA,C_GP,6015116.9280803315,6013300.54207512,5630950.683077878,6399702.7122187605
"Second_[70,75)",Vac,2024,73,NA,C_Med,15763457.089857493,15752981.10755443,14097153.650338223,17675463.63996441
"Second_[70,75)",Vac,2024,73,NA,C_VacZVL,0,0,0,0
"Second_[70,75)",Vac,2024,73,NA,C_VacRZV,0,0,0,0
"Second_[70,75)",Vac,2024,73,NA,C_Vac,0,0,0,0
"Second_[70,75)",Vac,2024,73,NA,C_All,15763457.089857493,15752981.10755443,14097153.650338223,17675463.63996441
"Second_[70,75)",Vac,2024,73,NA,C_Hosp_d,6503539.764046827,6503582.262621653,5483042.649434091,7644780.485446082
"Second_[70,75)",Vac,2024,73,NA,C_GP_NonPHN_d,3155710.596887318,3153569.364824509,2963795.131515264,3357972.6749265874
"Second_[70,75)",Vac,2024,73,NA,C_GP_PHN_d,1342468.6046903608,1338585.6781380975,1203964.498051387,1496076.8078293018
