Scenario,Age0,Arm,Index,A,M,L,U
Vac_77,77,RZV_2d,C_GP_PHN_d,1.2390142445908925,1.243606831757492,0.769790744152779,1.7221059645418906
Vac_77,77,RZV_2d,C_GP_d,4.066248649305355,4.092379414476174,2.61435118009129,5.539221988806254
Vac_77,77,RZV_2d,C_Med_d,13.271358445627857,13.387727921558787,7.954957165621531,18.220143280346505
Vac_77,77,RZV_2d,C_VacZVL_d,0,0,0,0
Vac_77,77,RZV_2d,C_VacRZV_d,170,170,170,170
Vac_77,77,RZV_2d,C_Vac_d,170,170,170,170
Vac_77,77,RZV_2d,C_All_d,183.27135844562787,183.3877279215588,177.95495716562152,188.2201432803465
Vac_77,77,RZV_2d,N_VacZVL,0,0,0,0
Vac_77,77,RZV_2d,N_VacRZV,2,2,2,2
Vac_77,77,RZV_2d,N_VacZVL_d,0,0,0,0
Vac_77,77,RZV_2d,N_VacRZV_d,2,2,2,2
Vac_77,77,SOC,N0,1,1,1,1
Vac_77,77,SOC,Year0,2024,2024,2024,2024
Vac_77,77,SOC,Year_Life,11.698670737471222,11.698672437994393,11.698555053928255,11.698779331548959
Vac_77,77,SOC,Year_Immunised,0,0,0,0
Vac_77,77,SOC,Risk_HZ,0.10951349290234344,0.10948846572557994,0.10657881806375347,0.11258816037231056
Vac_77,77,SOC,Risk_Hosp,0.006414925017461124,0.006397326518251071,0.005499099885442995,0.007483777506635773
Vac_77,77,SOC,Risk_PHN,0.00972403506107811,0.009703109426712073,0.008914950446414497,0.010646438506809647
Vac_77,77,SOC,Risk_Death,1.2689329932324027e-6,1.268700168965872e-6,1.085953074999872e-6,1.4664619564064315e-6
Vac_77,77,SOC,Q_Life,8.751339821488235,8.751340887244048,8.75126116534353,8.751413188233151
Vac_77,77,SOC,Q_HZ,-0.017215128145826562,-0.017247023799751286,-0.025278230667797812,-0.010213072359070657
Vac_77,77,SOC,Q_HZ_Norm,-0.005900138806957489,-0.00555928378768455,-0.011317998582005613,-0.0019361858804024072
Vac_77,77,SOC,Q_All,8.711356579592326,8.711319925779668,8.703271364197242,8.71838288180969
Vac_77,77,SOC,Q_HZ_d,-0.013759568231017694,-0.013804198174024833,-0.02015060428029269,-0.008176250639276359
Vac_77,77,SOC,Q_HZ_Norm_d,-0.004790296495540169,-0.004507324078800826,-0.009156640183639299,-0.0016086660620931214
Vac_77,77,SOC,Q_Life_d,7.014065046859914,7.014065567892413,7.014017451018002,7.014110282075793
Vac_77,77,SOC,Q_All_d,7.000305478628896,7.000282211455687,6.99392356460214,7.005904391373241
Vac_77,77,SOC,C_Hosp,27.955806789465996,27.851734760851095,23.92008613143501,32.51483435282195
Vac_77,77,SOC,C_GP_NonPHN,9.619442509814098,9.617674925795736,9.303210199593066,9.935261678567324
Vac_77,77,SOC,C_GP_PHN,4.215542807812584,4.19986607445609,3.7939968803545887,4.673329980997947
Vac_77,77,SOC,C_GP,13.834985317626682,13.820723779263895,13.31917714786255,14.405089851001641
Vac_77,77,SOC,C_Med,41.79079210709268,41.747038823462155,37.70055785749918,46.356147242245534
Vac_77,77,SOC,C_VacZVL,0,0,0,0
Vac_77,77,SOC,C_VacRZV,0,0,0,0
Vac_77,77,SOC,C_Vac,0,0,0,0
Vac_77,77,SOC,C_All,41.79079210709268,41.747038823462155,37.70055785749918,46.356147242245534
Vac_77,77,SOC,C_Hosp_d,20.602659854756343,20.542392603704585,17.553950396104522,24.224743993791975
Vac_77,77,SOC,C_GP_NonPHN_d,7.7533016069273595,7.751681787789238,7.479252716618369,8.012410315711282
Vac_77,77,SOC,C_GP_PHN_d,3.3983202071121976,3.3861265311444404,3.057794351465368,3.7723398815508826
Vac_77,77,SOC,C_GP_d,11.151621814039556,11.143720241728769,10.727172586946562,11.62700704984725
Vac_77,77,SOC,C_Med_d,31.7542816687959,31.694390711473893,28.727456103891885,35.42968856503608
Vac_77,77,SOC,C_VacZVL_d,0,0,0,0
Vac_77,77,SOC,C_VacRZV_d,0,0,0,0
Vac_77,77,SOC,C_Vac_d,0,0,0,0
Vac_77,77,SOC,C_All_d,31.7542816687959,31.694390711473893,28.727456103891885,35.42968856503608
Vac_77,77,SOC,N_VacZVL,0,0,0,0
Vac_77,77,SOC,N_VacRZV,0,0,0,0
Vac_77,77,SOC,N_VacZVL_d,0,0,0,0
Vac_77,77,SOC,N_VacRZV_d,0,0,0,0
Vac_78,78,RZV_1d,N0,1,1,1,1
Vac_78,78,RZV_1d,Year0,2024,2024,2024,2024
Vac_78,78,RZV_1d,Year_Life,11.042982341775726,11.042978852678548,11.042836659820244,11.043140504506031
Vac_78,78,RZV_1d,Year_Immunised,5.459688335623819,5.425521137962574,4.015257723037277,7.09846231984549
Vac_78,78,RZV_1d,Risk_HZ,0.05226488380200831,0.05267363507291999,0.03710831550686364,0.06601063503174667
Vac_78,78,RZV_1d,Risk_Hosp,0.003619707954860185,0.003663349480415753,0.0023799978438073482,0.004748758485501451
Vac_78,78,RZV_1d,Risk_PHN,0.00464437046288419,0.004666284496785002,0.0032416499355348437,0.005947329281763543
Vac_78,78,RZV_1d,Risk_Death,5.101362308432202e-7,5.262286745983863e-7,1.7509065710970582e-7,8.023119629074805e-7
Vac_78,78,RZV_1d,Q_Life,8.248101919507397,8.248099843533698,8.248003686217553,8.248206530833007
