Scenario,Age0,Arm,Year0,N0,Index,A,M,L,U
Vac_73,73,RZV_1d,2024,1,dYear_Life,3.024748102151005e-4,2.8017889033016274e-4,1.7708724143821188e-4,5.183749214660248e-4
Vac_73,73,RZV_1d,2024,1,dYear_Immunised,6.427797257310147,6.2994760628385364,4.482967260999908,9.043332768582982
Vac_73,73,RZV_1d,2024,1,dRisk_HZ,-0.058065502233621134,-0.05669940358750324,-0.08377063031846166,-0.04036138717336094
Vac_73,73,RZV_1d,2024,1,dRisk_Hosp,-0.0022331970214762085,-0.002036823925703431,-0.004043393079796098,-0.0012199693722375839
Vac_73,73,RZV_1d,2024,1,dRisk_PHN,-0.004811783178561491,-0.004681543494155368,-0.007040462632535369,-0.0032263710950817125
Vac_73,73,RZV_1d,2024,1,dRisk_Death,-5.668854570090784e-7,-5.108754381661431e-7,-1.0330296236187028e-6,-2.909886521308835e-7
Vac_73,73,RZV_1d,2024,1,dQ_Life,2.1051105551890713e-4,1.9595869076649564e-4,1.2464281089998863e-4,3.562768336526911e-4
Vac_73,73,RZV_1d,2024,1,dQ_HZ,0.008006518546323536,0.00782452136480885,0.005342888908817754,0.011685624062980514
Vac_73,73,RZV_1d,2024,1,dQ_HZ_Norm,0.002235482306426855,0.002197599560697771,0.0015372097612824178,0.003138242507397212
Vac_73,73,RZV_1d,2024,1,dQ_All,0.008214932470662416,0.008019417308315013,0.00547396851640869,0.012029542732051679
Vac_73,73,RZV_1d,2024,1,dQ_HZ_d,0.006553811384029097,0.006474750912946178,0.004555805551410769,0.009073991645852536
Vac_73,73,RZV_1d,2024,1,dQ_HZ_Norm_d,0.0018751282993330744,0.0018627038170750015,0.0013192158571402963,0.002529326526765186
Vac_73,73,RZV_1d,2024,1,dQ_Life_d,1.2826437695791348e-4,1.2185109035023345e-4,7.956798640145201e-5,2.0612173690426336e-4
Vac_73,73,RZV_1d,2024,1,dQ_All_d,0.006682075760986981,0.006603506631711831,0.004633019995271814,0.009265485812947238
Vac_73,73,RZV_1d,2024,1,dC_Hosp,-9.29720334118669,-8.420385181927807,-17.36055391137895,-4.978536077969062
Vac_73,73,RZV_1d,2024,1,dC_GP_NonPHN,-5.252784627606606,-5.149910638583356,-7.461267897489781,-3.6699417348042984
Vac_73,73,RZV_1d,2024,1,dC_GP_PHN,-2.130824208948784,-2.078437387287598,-3.0663178380973886,-1.4225093809672664
Vac_73,73,RZV_1d,2024,1,dC_GP,-7.38360883655539,-7.2365344522886605,-10.54485679076462,-5.138741977979229
Vac_73,73,RZV_1d,2024,1,dC_Med,-16.680812177742077,-15.604800680413913,-27.856208529159318,-10.074283364396221
Vac_73,73,RZV_1d,2024,1,dC_VacZVL,0,0,0,0
Vac_73,73,RZV_1d,2024,1,dC_VacRZV,85,85,85,85
Vac_73,73,RZV_1d,2024,1,dC_Vac,85,85,85,85
Vac_73,73,RZV_1d,2024,1,dC_All,68.31918782225792,69.39519931958608,57.14379147084069,74.92571663560378
Vac_73,73,RZV_1d,2024,1,dC_Hosp_d,-6.8716047515454495,-6.397188059338185,-11.661581246651377,-3.9172501487065157
Vac_73,73,RZV_1d,2024,1,dC_GP_NonPHN_d,-4.339549551795746,-4.3065486907694,-5.802575071844564,-3.1633823575181905
Vac_73,73,RZV_1d,2024,1,dC_GP_PHN_d,-1.734922468944038,-1.7158367983444949,-2.3980120954793276,-1.2105981185193877
Vac_73,73,RZV_1d,2024,1,dC_GP_d,-6.074472020739784,-6.017712438761504,-8.165622671159403,-4.37023861543086
Vac_73,73,RZV_1d,2024,1,dC_Med_d,-12.946076772285233,-12.401541864800226,-19.86024935246055,-8.347700524164901
Vac_73,73,RZV_1d,2024,1,dC_VacZVL_d,0,0,0,0
Vac_73,73,RZV_1d,2024,1,dC_VacRZV_d,85,85,85,85
Vac_73,73,RZV_1d,2024,1,dC_Vac_d,85,85,85,85
Vac_73,73,RZV_1d,2024,1,dC_All_d,72.05392322771476,72.59845813519976,65.13975064753946,76.65229947583511
Vac_73,73,RZV_1d,2024,1,dN_VacZVL,0,0,0,0
Vac_73,73,RZV_1d,2024,1,dN_VacRZV,1,1,1,1
Vac_73,73,RZV_1d,2024,1,dN_VacZVL_d,0,0,0,0
Vac_73,73,RZV_1d,2024,1,dN_VacRZV_d,1,1,1,1
Vac_73,73,RZV_1d,2024,1,ICER,11160.864986122602,10973.74563060045,7093.242905450309,16508.506379527473
Vac_73,73,RZV_1d,2024,1,Price0,85,85,85,85
Vac_73,73,RZV_1d,2024,1,Thres20,146.58759199202487,144.63286517611294,101.1761611998487,203.97083344351796
Vac_73,73,RZV_1d,2024,1,Thres30,213.40834960189466,210.54617593248287,147.50636115256685,296.5801488524163
Vac_73,73,RZV_1d,2024,1,Thres20_50,NA,144.63286517611294,NA,NA
Vac_73,73,RZV_1d,2024,1,Thres30_90,NA,170.07666189433772,NA,NA
Vac_73,73,RZV_1d,2024,1,Thres,NA,144.63286517611294,NA,NA
Vac_73,73,RZV_2d,2024,1,dYear_Life,3.9662151676546917e-4,3.743266094771158e-4,2.4183206816252856e-4,6.341547233112532e-4
Vac_73,73,RZV_2d,2024,1,dYear_Immunised,8.087291908523458,7.983444607191721,6.013970819727898,10.790742900480438
Vac_73,73,RZV_2d,2024,1,dRisk_HZ,-0.07328929753612502,-0.07196447845637453,-0.09998644103256465,-0.05411756010638747
Vac_73,73,RZV_2d,2024,1,dRisk_Hosp,-0.002934907157652193,-0.002748136574598,-0.004912081747264413,-0.0017206618150487805
Vac_73,73,RZV_2d,2024,1,dRisk_PHN,-0.006112688733916943,-0.005983900216573292,-0.008447292433907775,-0.004341118090995352
Vac_73,73,RZV_2d,2024,1,dRisk_Death,-7.162650077808351e-7,-6.724793037821385e-7,-1.160062024611366e-6,-3.9753302527140963e-7
Vac_73,73,RZV_2d,2024,1,dQ_Life,2.7541765270611054e-4,2.607984536382446e-4,1.699489044092228e-4,4.3367796423576793e-4
Vac_73,73,RZV_2d,2024,1,dQ_HZ,0.010128072508683838,0.009938258315783367,0.007257152285784347,0.013984765570589764
Vac_73,73,RZV_2d,2024,1,dQ_HZ_Norm,0.002793773800905229,0.0027476700419551904,0.002041425775054759,0.0037549284635954535
Vac_73,73,RZV_2d,2024,1,dQ_All,0.010400554593513543,0.010210520109881216,0.007439960022862691,0.014396034902856325
Vac_73,73,RZV_2d,2024,1,dQ_HZ_d,0.00818808533700616,0.008132691779312794,0.0060794605685493336,0.010757754522687398
Vac_73,73,RZV_2d,2024,1,dQ_HZ_Norm_d,0.0023172689732141472,0.002299484865600156,0.0017392307149502802,0.0029910215189581416
Vac_73,73,RZV_2d,2024,1,dQ_Life_d,1.6611433121294715e-4,1.5936485790746246e-4,1.0766405732369755e-4,2.481502923959322e-4
Vac_73,73,RZV_2d,2024,1,dQ_All_d,0.008354199668219112,0.008293129002343136,0.006199802090455897,0.010987217470646458
Vac_73,73,RZV_2d,2024,1,dC_Hosp,-12.286009939531384,-11.374741393303653,-21.155578257095218,-6.993831213531258
Vac_73,73,RZV_2d,2024,1,dC_GP_NonPHN,-6.614874528013462,-6.5056213155909095,-8.890593375553479,-4.900343898010261
Vac_73,73,RZV_2d,2024,1,dC_GP_PHN,-2.702266621778928,-2.656414818026695,-3.6766660119650156,-1.9250082528350154
Vac_73,73,RZV_2d,2024,1,dC_GP,-9.31714114979239,-9.176243751916108,-12.532057395727607,-6.841693322518866
Vac_73,73,RZV_2d,2024,1,dC_Med,-21.603151089323774,-20.42965316067152,-33.251714680500285,-13.867805788086864
Vac_73,73,RZV_2d,2024,1,dC_VacZVL,0,0,0,0
Vac_73,73,RZV_2d,2024,1,dC_VacRZV,170,170,170,170
Vac_73,73,RZV_2d,2024,1,dC_Vac,170,170,170,170
Vac_73,73,RZV_2d,2024,1,dC_All,148.39684891067623,149.57034683932847,136.74828531949976,156.13219421191314
Vac_73,73,RZV_2d,2024,1,dC_Hosp_d,-8.94734354068278,-8.488817373923716,-14.14563794999451,-5.491855462160501
Vac_73,73,RZV_2d,2024,1,dC_GP_NonPHN_d,-5.399441463485177,-5.353674381045167,-6.872190629090148,-4.140710501397972
Vac_73,73,RZV_2d,2024,1,dC_GP_PHN_d,-2.174013445754611,-2.1580348723941865,-2.8439653258364124,-1.6143971564314294
Vac_73,73,RZV_2d,2024,1,dC_GP_d,-7.573454909239787,-7.52344993208396,-9.647659946321053,-5.8008212201097
Vac_73,73,RZV_2d,2024,1,dC_Med_d,-16.52079844992257,-15.947776463936169,-23.73796693590291,-11.26302234715674
Vac_73,73,RZV_2d,2024,1,dC_VacZVL_d,0,0,0,0
Vac_73,73,RZV_2d,2024,1,dC_VacRZV_d,170,170,170,170
Vac_73,73,RZV_2d,2024,1,dC_Vac_d,170,170,170,170
Vac_73,73,RZV_2d,2024,1,dC_All_d,153.47920155007742,154.05222353606382,146.2620330640971,158.73697765284328
Vac_73,73,RZV_2d,2024,1,dN_VacZVL,0,0,0,0
Vac_73,73,RZV_2d,2024,1,dN_VacRZV,2,2,2,2
Vac_73,73,RZV_2d,2024,1,dN_VacZVL_d,0,0,0,0
Vac_73,73,RZV_2d,2024,1,dN_VacRZV_d,2,2,2,2
Vac_73,73,RZV_2d,2024,1,ICER,18807.16476057133,18552.30452304866,13444.836200377373,25581.807835640957
Vac_73,73,RZV_2d,2024,1,Price0,85,85,85,85
Vac_73,73,RZV_2d,2024,1,Thres20,91.8023959071524,91.05976527584548,67.64833295001277,120.81223807493207
Vac_73,73,RZV_2d,2024,1,Thres30,133.57339424824795,132.44941161297032,98.73461458426382,175.53262336351312
Vac_73,73,RZV_2d,2024,1,Thres20_50,NA,91.05976527584548,NA,NA
Vac_73,73,RZV_2d,2024,1,Thres30_90,NA,110.25178146453815,NA,NA
Vac_73,73,RZV_2d,2024,1,Thres,NA,91.05976527584548,NA,NA
Vac_74,74,RZV_1d,2024,1,dYear_Life,3.161834537516928e-4,2.979304105474867e-4,1.8992609118710923e-4,5.232432254073771e-4
Vac_74,74,RZV_1d,2024,1,dYear_Immunised,6.2433172839683415,6.136223385677363,4.399159976332444,8.68037032769297
Vac_74,74,RZV_1d,2024,1,dRisk_HZ,-0.05704238824027112,-0.05597798875450031,-0.08049805405775572,-0.04009833334822228
Vac_74,74,RZV_1d,2024,1,dRisk_Hosp,-0.002337784737395208,-0.0021688624653552705,-0.004055545224344029,-0.0013322720902661004
Vac_74,74,RZV_1d,2024,1,dRisk_PHN,-0.004830712784742632,-0.00474635084716468,-0.006904215041771251,-0.003306013276037417
Vac_74,74,RZV_1d,2024,1,dRisk_Death,-6.050163752242305e-7,-5.5361477581265e-7,-1.0478302592183813e-6,-3.253804852145912e-7
Vac_74,74,RZV_1d,2024,1,dQ_Life,2.1954287374222048e-4,2.0754695788305355e-4,1.334218979764934e-4,3.5901378742790867e-4
Vac_74,74,RZV_1d,2024,1,dQ_HZ,0.007907420078672695,0.00776673456790152,0.005318435341423581,0.011331469317764768
Vac_74,74,RZV_1d,2024,1,dQ_HZ_Norm,0.0021500251843553993,0.0021246791173239604,0.0014788621575167241,0.0029844805588258123
Vac_74,74,RZV_1d,2024,1,dQ_All,0.008124685537883425,0.007971403710770986,0.005459459695572821,0.01163295833770288
Vac_74,74,RZV_1d,2024,1,dQ_HZ_d,0.006526244175520793,0.0064634984733492225,0.004546555713787286,0.00889308467453605
Vac_74,74,RZV_1d,2024,1,dQ_HZ_Norm_d,0.0018147261658279857,0.0018072508952199783,0.0012769374108880043,0.0024112085498620367
Vac_74,74,RZV_1d,2024,1,dQ_Life_d,1.3664567882776168e-4,1.3106914393112845e-4,8.734385397102251e-5,2.1298975095795925e-4
Vac_74,74,RZV_1d,2024,1,dQ_All_d,0.006662889854348544,0.006590538023830916,0.004632863778349305,0.00910915472101128
Vac_74,74,RZV_1d,2024,1,dC_Hosp,-9.798517109277755,-8.999906298825247,-17.47801285035429,-5.481608561830056
Vac_74,74,RZV_1d,2024,1,dC_GP_NonPHN,-5.136156862051765,-5.060564210426662,-7.155536607678136,-3.6294043672933567
Vac_74,74,RZV_1d,2024,1,dC_GP_PHN,-2.1342626601866743,-2.0964061159782803,-3.011214512157988,-1.4564645432487617
Vac_74,74,RZV_1d,2024,1,dC_GP,-7.27041952223844,-7.155423184834812,-10.194153472272745,-5.123605639172927
Vac_74,74,RZV_1d,2024,1,dC_Med,-17.068936631516195,-16.17694627117253,-27.558079650163325,-10.518128708864792
Vac_74,74,RZV_1d,2024,1,dC_VacZVL,0,0,0,0
Vac_74,74,RZV_1d,2024,1,dC_VacRZV,85,85,85,85
Vac_74,74,RZV_1d,2024,1,dC_Vac,85,85,85,85
Vac_74,74,RZV_1d,2024,1,dC_All,67.9310633684838,68.82305372882746,57.44192034983667,74.4818712911352
Vac_74,74,RZV_1d,2024,1,dC_Hosp_d,-7.369201863295056,-6.946877762786631,-12.15350837683054,-4.367310621518221
Vac_74,74,RZV_1d,2024,1,dC_GP_NonPHN_d,-4.274191176784553,-4.25550039211102,-5.630981755992331,-3.1331054010990744
Vac_74,74,RZV_1d,2024,1,dC_GP_PHN_d,-1.756852347326032,-1.7423428869905853,-2.3937410057302646,-1.243910065247445
Vac_74,74,RZV_1d,2024,1,dC_GP_d,-6.0310435241105855,-5.97611445309772,-7.974426752494537,-4.360664623941947
Vac_74,74,RZV_1d,2024,1,dC_Med_d,-13.400245387405642,-12.955340330765013,-20.04695415545754,-8.802503429647645
Vac_74,74,RZV_1d,2024,1,dC_VacZVL_d,0,0,0,0
Vac_74,74,RZV_1d,2024,1,dC_VacRZV_d,85,85,85,85
Vac_74,74,RZV_1d,2024,1,dC_Vac_d,85,85,85,85
Vac_74,74,RZV_1d,2024,1,dC_All_d,71.59975461259435,72.04465966923499,64.95304584454246,76.19749657035234
Vac_74,74,RZV_1d,2024,1,dN_VacZVL,0,0,0,0
Vac_74,74,RZV_1d,2024,1,dN_VacRZV,1,1,1,1
Vac_74,74,RZV_1d,2024,1,dN_VacZVL_d,0,0,0,0
Vac_74,74,RZV_1d,2024,1,dN_VacRZV_d,1,1,1,1
Vac_74,74,RZV_1d,2024,1,ICER,11099.989866767999,10902.965351430195,7236.304470404772,16456.095914661066
